SZ-811	SZ-821	SZ-822	SZ-809	SZ-824	SZ-813	SZ-831	SZ-833	SZ-835	SZ-856	SZ-825	SZ-826	SZ-855
A1BG	1.48330421359889	1.83333244410581	1.70248306678678	1.82997004956641	1.86499132214318	1.89437373726357	2.12262597679894	2.1175100568234	1.6168701401478	1.783817258363	1.24635130528005	2.37283631465394	1.88406832580154
A2M	7.0544260879457	8.30254212049541	6.90606493891386	6.12877747693391	6.57819458730301	6.70328311380661	6.05680781660915	7.29848192851426	6.49800426185323	6.94749900826513	9.23701256767561	5.81503012348573	7.33385454868174
A2ML1	2.95868951053015	2.91808753367352	2.80538802168723	2.40726005693928	2.74577898874112	2.86751784478512	2.56591140422314	3.87942891148292	2.25492798554585	2.72715204069985	0.59043717690632	2.1219899730258	2.93217194260462
A3GALT2	0.107971560107564	0.699564361759768	0.187654814020249	0.829590313378356	0.441617139121381	0.277834460057665	0.635167588962075	0.501633169349894	0.646770676265431	0.20625437231415	0.315234262874304	0.58976779479269	0.255152054969996
A4GALT	1.02321593342249	0.93534739167641	1.10924771645692	1.2150423996912	0.559820630338074	0.807650054274976	0.995046298789347	0.860594344469459	1.28104407709996	1.30553143279577	2.12225200058941	0.904138271813741	1.19091755352028
AAAS	3.48967945326586	3.75124824778946	3.52425445360028	3.32606406880713	3.62722380010267	3.32274681566095	3.19475479462694	3.55546372026246	3.44202941759265	3.03965890839382	3.71283300726476	3.17457119431432	3.49180052191114
AACS	5.87989836411956	5.88051918052681	5.42064750062955	6.32725546662164	5.99524158260654	5.94441774427924	6.29808529446842	5.75851902796314	5.79632335972742	5.91624130636	5.88634858514818	6.61644707143027	5.87288032561743
AADAT	3.93605486413889	3.7951226449914	3.4136167727945	3.21897360557578	3.95034186338432	3.43226319068337	3.63943124395909	3.52114094883751	3.85730519223857	3.81783073565913	3.1339941118509	2.92275930560651	3.32039964762814
AAED1	2.45455662503138	2.40334265928866	2.71146105064481	2.40726005693928	2.39657614604278	2.73666527932522	2.18879175958752	2.23265693343345	2.31912817098894	2.56368446398657	3.12824365245433	2.38498855773157	2.7347938508707
AAGAB	5.5830499516661	5.23588180894595	5.34903672993528	5.24962088114852	5.40625991323041	5.54078810159035	4.93826238632665	5.20440399074178	5.72832347473865	5.55140760088762	5.53745175483917	5.2993168799299	5.71854207334435
AAK1	8.13632437661271	7.94555442239808	8.12106532230377	8.81503970490771	8.39270401389498	8.64160850494126	8.45426579400368	8.18986495790119	8.02355051938548	7.91926339410237	8.24462560514783	8.80167434438688	8.053089948113
AAMDC	3.51640788580191	3.72644039724895	4.02948447550747	3.71645512887731	3.56172892710068	3.44904152938493	3.6907767401757	3.21629855227951	4.20203430485098	3.33206621845659	3.58712051553205	3.09537109172341	3.25290772091338
AAMP	5.257958337407	5.43874981933161	5.41519130145595	5.22707074718593	5.41648873913322	5.36776435046944	5.35838714363445	5.46314045529235	5.22210739981257	5.54495597411584	5.48053973059283	5.12827390481551	5.98893239826263
AANAT	0.299788410982401	0.219983345053172	0.160602699806074	0.212183041159086	0.346993895535443	0.187654814020249	0.485519332711879	0.256945052472557	0.274561602940492	0.187654814020249	0.217399344539793	0.260307400298879	0.27544384736478
AAR2	3.75433142544562	3.93016946498188	3.74664732192333	3.83325270024515	3.75308593343112	3.68441820219741	3.60769965244228	3.48565635833621	3.79565745767399	3.74229156856136	3.98371282591545	3.80173972539344	3.85296815104384
AARD	0.802701553809509	0.629499672672641	1.20600783045165	1.17658512212366	1.37910846506048	1.36418082320222	1.17658512212366	1.56995426377183	0.656346607302876	1.31790274348009	0.265264117335803	1.90613617999872	1.55800409664886
AARS	7.21029716935063	7.22904100669518	7.23323054064817	7.12727667288237	7.22768674015465	7.09757442723825	6.8907219542318	7.21310401656065	6.97253195529847	7.2734865260735	7.59899037425949	7.09625438958746	7.49958093801278
AARS2	4.43728749627568	4.53540647473872	4.07185849670965	4.14360443513618	4.29729362873053	4.11564019146857	4.33465280736015	4.49398961665556	4.17976096655265	3.90003576137943	3.95188732584872	4.52606227024261	4.12495624625165
AASDH	4.78502515880407	4.94045473094845	4.91096306477289	4.80885883962887	4.6890541558973	4.76966719863479	4.46063038881409	4.55480557840344	5.17840486386622	5.0668831157781	4.60568940077835	4.58160049077168	4.7567226684713
AASDHPPT	6.54706823507672	6.3464643038255	6.56955377814501	6.67138105971608	6.63828576864409	6.87522240967756	6.25563576249744	6.35801665738517	6.5052308587864	6.51345248900519	6.32218309936307	6.56414980709984	7.05401685621124
AASS	5.42352654728352	6.1552455609807	6.08538350538485	4.95216352719626	5.53953691131844	5.3262759969653	5.3026891672313	5.57186910998712	5.61463488208524	5.2876453890856	5.46508449352594	4.57287577299275	5.29913833009433
AATF	5.1449150476914	4.95985174890581	4.98210983782208	5.07718022202407	5.02245180641647	5.18153361669258	5.02742112992534	4.83490105258038	5.19361817602937	4.91021988398488	5.09831743107938	4.90147196348089	4.89458627217151
AATK	6.98864194841554	7.71211565470368	6.99480863270628	6.67948146609217	7.15068744407301	6.54859496625139	7.14333690078318	7.02702915242729	7.08359395558053	6.82301725202085	7.10779237732968	6.9865223499092	6.87000496649346
