SZ-811	SZ-821	SZ-822	SZ-809	SZ-824	SZ-813	SZ-831	SZ-833	SZ-835	SZ-856	SZ-825	SZ-826	SZ-855
A1BG	1.67996524013928	1.87894581214212	1.84958753732368	1.67267340325278	1.74790647308471	1.78570081614437	1.78020623016567	1.96935478257855	1.94633558326252	1.74087756794732	1.8411579021327	1.98297553457159	1.87684732858801
A2M	6.98470246804281	7.56833972573903	6.59394117475074	6.90731353045126	6.72417186522458	7.03091836517345	6.39718220990346	7.00669208261727	6.69648294268399	7.15271613932708	7.21073132005902	7.59239382722544	6.99439292928521
A2ML1	2.54617101647995	2.33430331094157	2.88946721194105	2.59615086817694	2.63759355815526	2.481657480559	2.73321995101922	2.77853384181924	2.68839961354556	2.5052025778001	2.5449222210464	2.49146290868267	2.54765683067797
A3GALT2	0.112350827141253	0.671477359260853	0.268414120689658	0.733966996209717	0.314883015262852	0.334289157270373	0.425905306567392	0.542331912560817	0.718932832534366	0.404329438441528	0.40075019808995	0.338984448422949	0.427596955521816
A4GALT	1.06859436924727	1.20434609236815	1.0822979307878	1.31304710745794	1.01148929283435	0.941972205872234	0.991437641287358	1.138652083232	1.05694928677727	1.10697202285538	1.11230085583677	1.13578975989104	1.14599945649048
AAAS	3.38927785756935	3.47902085231552	3.44479753744008	3.430612332937	3.37909048402046	3.36030335815871	3.39847544132225	3.472403819129	3.4603642831402	3.38800464932176	3.43560784321512	3.50417757969513	3.51019236532782
AACS	6.01051300696081	6.14596790578048	5.65839839853761	6.04910711857161	5.99784051888533	5.92146419999198	5.85383914072611	5.86439527253205	5.92957569214388	6.07256787236739	6.00828091821301	6.0201225460177	6.06075221877026
AADAT	3.60777555981283	3.33303829949027	3.22908792999645	3.48844035201308	3.90238814072254	3.65034390547326	3.77560983892845	3.42487911018325	3.70405913876001	3.70173097017677	3.49434074858856	3.20362737599728	3.44391275720537
AAED1	2.67194129654795	2.57600870720931	2.61410617738461	2.43125316381822	2.4230002043226	2.65340988117881	2.43889601919938	2.36304604052804	2.28217946458713	2.50551898327413	2.54352007538308	2.63373579111605	2.52553340177589
AAGAB	5.49887549096915	5.42386937210214	5.23355877797078	5.24992579564581	5.50142600818282	5.40894166833886	5.41361989965578	5.30743386721901	5.40715787083917	5.4331280426846	5.42379685777049	5.47634267524131	5.56426922070483
AAK1	8.3196492707848	8.32768537558226	8.38617649397077	8.41458219589319	8.21838731269414	8.4111018541881	8.2561545732844	8.24685875207129	8.16942902530567	8.32824005024668	8.29801991797835	8.23847020583945	8.12387588025986
AAMDC	3.32594676524483	3.53821454892222	3.8230950506394	3.83379174009623	3.4540406255261	3.69948743388247	3.90015836091221	3.50525985964471	3.85324590849688	3.38155270042331	3.40211547629474	3.17108924520663	3.48813577256316
AAMP	5.47371667889737	5.40087114637624	5.34374662580161	5.34423883991124	5.43706431211064	5.26442735326888	5.45195102080218	5.30717201592708	5.43267436995582	5.33233992265411	5.3764175840642	5.44846006464398	5.69648036709598
AANAT	0.279280517845333	0.182972793588529	0.211605517487157	0.203064530808935	0.349817237801529	0.22779963617987	0.349369319658056	0.229927399955791	0.332171274837069	0.246910204559319	0.2324646015298	0.199294040163513	0.340360526490151
AAR2	3.79851821347302	3.93229819692313	3.66408574713125	3.84809989657607	3.68847899923748	3.74582232402469	3.69628354696857	3.64109413112484	3.70417528299197	3.76205467430353	3.77333076761502	3.82491561809815	3.89247338912337
AARD	1.24447554634093	0.944638031168002	1.34766047049401	0.86985039524765	1.19150160754738	0.944666853226707	1.06206422760343	1.36675345580518	1.06165859347381	1.09350748997151	1.20435977865227	1.41327376654421	1.26386638190692
AARS	7.34399089737839	7.22775310650116	7.15669765365812	7.20146628766041	7.20554895844256	7.0471591404981	7.05055781972841	7.19916793362077	7.03025173628459	7.24831975132255	7.25915950908067	7.37055512175855	7.32914879505909
AARS2	4.19164473580616	4.31334611569926	4.19473323518848	4.12185130397165	4.1860225210078	4.17439928158596	4.14328669489898	4.309394982011	4.25734940486445	4.20545585452989	4.27284980698994	4.4148163419323	4.3272854388642
AASDH	4.68129522103844	4.90499979309687	4.69393103540633	4.91663494382224	4.72313961958479	4.83510003110477	4.79860317974658	4.72548939244721	4.8571059380063	4.78018890498379	4.75531356570203	4.69143873923104	4.74551929139918
AASDHPPT	6.68947325402647	6.59525562039584	6.54916797960214	6.52809433140049	6.53352885742373	6.56232017195334	6.61877967526382	6.31823332275489	6.47990798425272	6.48275825645382	6.51529607020735	6.55406314735266	6.79378241434603
AASS	5.2388029116342	5.41907166257563	5.72256783952341	5.42059037128287	5.27957587181846	5.6252927237477	5.60581120325504	5.45818166688324	5.59304467570566	5.26012547121062	5.35027227994957	5.30908782482982	5.31364469171511
AATF	5.02922794745997	5.02170698934216	4.99789268699141	5.03732049852316	5.04572383673436	5.17807690421045	5.12169906282643	4.89769775077272	5.04459482720102	5.03054610200422	4.98561903967869	4.88325784159986	4.95521470145972
AATK	6.86534667865768	7.16941380412027	6.85399817794198	6.9253168125557	6.93856150814581	6.93113401432251	6.94033874719983	7.06047832903338	7.14828276837371	6.95060242823394	7.02111689287807	7.15406760518015	7.15696930014324
ABAT	7.76089121536388	7.45129358069633	7.66381643116403	7.77951265402273	7.78229287455045	7.38916098176068	7.57204964945869	7.79201801204437	7.53331971835428	7.75574655152199	7.67769466210797	7.61606799665765	7.59895615937759
ABCA1	6.534772042131	6.40109749419004	6.76702003577518	6.6260492466577	6.64553899668046	6.80730062297973	6.90410027231042	6.47236183789604	6.72995729778619	6.51037838815821	6.46283483974203	6.21978614694239	6.43388062996499
ABCA10	5.22576876342529	5.57271413103521	5.09686822454167	5.2888312653416	5.44094431244939	5.88857179056006	5.44278185233727	5.30964540988954	5.55030457593704	5.54207662410143	5.41644645372662	5.254741113763	5.01076349212566
