logFC	Pval	Warning	FDR
AAK1	0.21463373561894	1.80211970359778e-05	NA	0.00369837413826184
AC007382.1	0.115960897089234	6.68266527170669e-05	NA	0.0100719915945114
ALKBH4	-0.327089192536809	1.54981205358062e-06	NA	0.000597542652007283
ANAPC2	-0.272005404728895	5.55382283262684e-05	NA	0.00873665058806294
ANXA13	0.170131678982934	0.000164111070923179	NA	0.0198598353637619
AP003774.4	-0.185047361248279	8.926154482225e-08	NA	5.10299017795891e-05
ASGR1	-0.438568027134387	0	NA	0
ATP13A5	0.274849881132958	0.000211717482363927	NA	0.0245459030777031
ATP2C1	0.34108571833634	0.000352586218550277	NA	0.0354274358626972
BACE1	0.250911431654	3.85370772444382e-05	NA	0.00672532845932149
BCAS1	0.444033655245549	0.000361748985494126	NA	0.0361291351235368
BCHE	0.50590555913581	8.92470967328585e-05	NA	0.0127554104890867
BCL7C	-0.109498323423936	0.000385287910850574	NA	0.0373549021870857
BEND4	0.746618582151459	1.58861331156501e-06	NA	0.000598582274828099
BHLHA9	-0.160650053266655	2.54359421651973e-05	NA	0.00484715500180237
BSPRY	-0.296439314293014	0.000182291316168426	NA	0.0217045605274649
C12orf56	0.223959806270404	1.5103212458456e-08	NA	1.19236266356544e-05
C17orf100	-0.354431642999353	2.66563499495831e-07	NA	0.000126267321661182
C19orf54	0.330101015862396	8.20697036996165e-07	NA	0.000331861857959986
C6orf10	0.118014232861434	0.000393632408773437	NA	0.0379420447968303
C6orf195	-0.517929552084819	0.000479389287868281	NA	0.0443783896868102
CCM2L	-0.387253064622755	8.61500175641794e-08	NA	5.10100407570189e-05
CCNO	-0.368844578166579	2.57798373759499e-08	NA	1.75602882990411e-05
CCSER2	0.25443516285284	6.19986122749605e-05	NA	0.0094591319456107
CDHR2	-0.345649277090804	0.000405533650615464	NA	0.0386398988135274
CEP290	0.140711696777406	0.000447309633190729	NA	0.0417919862668231
CETN3	0.160363085430086	1.89050707812832e-05	NA	0.00382228254247433
CFHR2	0.0913753762811135	5.01336057816548e-05	NA	0.00799197163705822
CHST9	0.793074831384875	7.10326002393291e-05	NA	0.0105166858267383
CORO1C	0.274025952859651	2.06271232316979e-07	NA	0.000110315185825264
CRTC1	-0.389340478448344	2.19083200470038e-08	NA	1.57920886112729e-05
CRYBB3	0.60775641519168	4.88776993510243e-05	NA	0.00794454291706501
CSAG1	0.116645444593386	2.76607752791591e-06	NA	0.000849237024728109
CSNK1G3	0.209882416290187	2.68030042605005e-12	NA	4.93741119594265e-09
CSNK2B	0.126016355977643	0.000103199762268913	NA	0.0144165432266509
CYP1B1	-0.817211480313296	1.98265839745915e-07	NA	0.000109568311904917
DCAF17	0.217547060023574	0.000308638458491162	NA	0.0316598409364843
DFNA5	-0.231070579218547	2.31146063733867e-06	NA	0.000751405998165447
DHX36	0.155878945222041	0.000368260517438213	NA	0.0365592282551385
DIABLO	0.130209380912098	0.000255533318281653	NA	0.0281709151408783
DMXL1	0.183252883047025	1.13832494166299e-05	NA	0.00258524509696312
EFCAB14	0.223527418160717	0.000120329171597655	NA	0.0162190027310368
EIF5B	0.238508933953768	2.64797157534247e-08	NA	1.75602882990411e-05
EMX1	-0.544526069480531	3.93033161572021e-10	NA	3.83299810923678e-07
ENPP5	0.291063371239096	0.000125259492476326	NA	0.0167473961755243
EPS8L2	-0.486841848398963	0.000512908318060612	NA	0.0459637647748303
FAM114A2	0.279440496832848	2.54269143518115e-07	NA	0.000125162725659669
FAM207A	-0.264959802289339	5.63858865385569e-05	NA	0.00873665058806294
FAM84A	-0.671287302374082	0.000216426589432439	NA	0.0247457684565545
FBLN7	-0.990689984917474	3.18416889655282e-06	NA	0.000959824293380894
FGL1	-0.628286278722813	1.64619709241975e-06	NA	0.000606495591005047
FLVCR1	0.17616423661529	0.000404094911564901	NA	0.0386398988135274
FOXK2	-0.0983780377182086	2.75967495300122e-07	NA	0.000127090697349465
FUT2	-0.138999451900611	2.21189993432347e-07	NA	0.00011459715315984
GDAP1	0.270062730232253	3.16307093197743e-05	NA	0.00576269812980811
GORASP2	0.0892754146982704	7.05846340709471e-07	NA	0.000292555662065558
GPR45	-0.401554663470082	0.000155465820073308	NA	0.0194318347754805
GUCA1C	0.670979887143683	2.30123111943925e-06	NA	0.000751405998165447
GUCY1A2	0.371038008360872	2.80014698788023e-05	NA	0.00515818187911847
HCK	0.416567511044927	0.000381973275177305	NA	0.037251381936262
HIST1H1E	-0.199920586043023	0.000410923305626643	NA	0.0389296999084806
HS1BP3	-0.190240564517444	0.000215766755461644	NA	0.0247457684565545
HS6ST1	-0.279539939311906	4.30876781378764e-05	NA	0.00709748490455149
HSPA12B	-0.45598612976251	0.000273940987385313	NA	0.0293010814829748
HSPE1	-0.327728186547864	6.21898414905342e-05	NA	0.0094591319456107
INPP5E	-0.50045929854054	0.000515668028718164	NA	0.0459637647748303
IPMK	0.222459488528572	0.000109483561243406	NA	0.0150010575359871
KB-1980E6.3	-0.314475835183012	3.94410109865184e-05	NA	0.00681138042859884
KIF17	-0.495491928505667	4.78446171570113e-11	NA	5.66582791318636e-08
KPNA3	0.160724767525657	1.80691419988666e-05	NA	0.00369837413826184
LGALS3	-0.425369701765497	3.50228220382665e-05	NA	0.00631134094100456
LIG4	0.349595885142486	7.10458298205374e-05	NA	0.0105166858267383
LRRC56	-0.731978366362555	0.000509267425002902	NA	0.0458866556474082
MAN1B1	-0.252528920239926	1.76203404664843e-05	NA	0.00369781803283346
MAP3K13	0.246251161708584	1.75477675778968e-05	NA	0.00369781803283346
MAP4K1	-0.417428853159137	4.00768307429189e-12	NA	6.64433776886852e-09
MAPK11	-0.548185461486953	3.80068562821911e-05	NA	0.00672532845932149
MARCH5	0.179664364998361	0.000288236803979602	NA	0.0302447972985938
MDM2	0.170848719956024	7.89669513689972e-06	NA	0.00201414321037939
MEGF11	0.517527694989267	1.09856790331264e-10	NA	1.13832232931377e-07
MFN1	0.210737744889573	7.91929754273557e-05	NA	0.0115170205228959
MOXD1	0.646376502397669	0.000166108311104418	NA	0.0199558673173924
MPP3	0.584715381477234	0.000333488165065399	NA	0.0339196336725107
MT1M	-0.566895369668483	2.03626713979332e-06	NA	0.000702300685225048
MTF1	0.337671904210689	1.16103904268527e-09	NA	1.06938146048218e-06
MTHFS	0.466748281558662	0.000272229512597866	NA	0.0293010814829748
N4BP2	-0.257443785380432	0.000258038686659967	NA	0.0281709151408783
NDST2	-0.199982234348704	0.000492635829423049	NA	0.044966553270688
NEDD8	-0.235905786096435	0.000286651998480991	NA	0.0302447972985938
NFKBIL1	-0.33246742193822	0.000161468310620583	NA	0.019683699424843
NFKBIZ	0.763851208134333	2.17645053179893e-05	NA	0.00419574108915053
P2RY11	-0.223253867358992	0.000205334884286756	NA	0.0239735707506347
PABPN1	-0.331547329130259	0.000151224265454442	NA	0.0194318347754805
PCGF2	-0.279681122215151	1.60937929649663e-11	NA	2.22349161305146e-08
PDZD8	0.245979369416392	3.95170069067419e-06	NA	0.00111042789407945
PERP	0.298247150153449	2.63919731833262e-05	NA	0.00491632048771197
PGM3	0.225680941914849	8.25302587359467e-06	NA	0.00207313509027767
PGS1	-0.223743200114367	0.000271781259671755	NA	0.0293010814829748
PHF3	0.174903703479801	1.74991612467146e-06	NA	0.000630692596324524
PI15	0.531516833915159	0.000159351053657719	NA	0.019683699424843
PICK1	-0.212839310801706	0.000481820987009218	NA	0.0443783896868102
PIGQ	-0.42509323958926	0.000139730688686557	NA	0.0180983991229252
PIN1	-0.37517330353101	5.61604517206327e-05	NA	0.00873665058806294
PITPNM2	-0.571869575610853	0.000308678050268574	NA	0.0316598409364843
PKIG	-0.316448454186285	3.41533178183084e-06	NA	0.00100281642720675
POLR2J3	-0.610606010781901	9.6387984818147e-06	NA	0.00235002411808832
PPFIA2	-0.355117686132284	1.94584083357263e-06	NA	0.000686385003825546
PPP1R16B	-0.380951489223631	2.5668210823504e-07	NA	0.000125162725659669
PRKCZ	-0.317357876289243	0.000154418772281728	NA	0.0194318347754805
PROKR2	-0.387118698167538	1.01273410901825e-05	NA	0.00238977679291744
PSMB7	-0.0972603480732053	7.83293969686127e-08	NA	4.99470412439473e-05
PSMD11	0.09730868957634	0.000536042907395506	NA	0.0475243602230487
PTGER4	0.624244356266099	0	NA	0
PUSL1	-0.344119833006021	0.000139158194356837	NA	0.0180983991229252
RAB11FIP2	0.0983905837254558	4.2211313206808e-05	NA	0.00706890264298657
RAB3GAP2	0.191987708117434	0.000137758417818601	NA	0.0180983991229252
RAB40B	-0.242498742333992	2.76552104727656e-06	NA	0.000849237024728109
RAD54L	0.549702016397587	2.69678015318853e-06	NA	0.000849237024728109
RALGPS2	0.295553335751518	0.000160337257371967	NA	0.019683699424843
RAPGEF3	-0.255807667429966	0.000379866215364233	NA	0.037251381936262
RASSF2	0.538881605937964	1.65546115904469e-05	NA	0.00356440137088337
RAVER2	0.421842297848249	4.99618023563908e-05	NA	0.00799197163705822
RBP7	0.582120344650421	0.000247761273431735	NA	0.0275680144444613
REXO4	-0.308658729024669	0.000493631262154848	NA	0.044966553270688
RNF126	-0.194881429882171	1.45009549865627e-05	NA	0.00324880179354355
RNF215	-0.289570855743859	0.000104347981615183	NA	0.0144165432266509
RP11-17M16.1	-0.155537905052256	1.05492066193591e-08	NA	9.20501560749234e-06
RPL36A	-0.238096900712942	8.46797116871301e-08	NA	5.10100407570189e-05
RPS6KB2	-0.317552884249016	1.08197477879379e-05	NA	0.00249139720244754
S100A2	-0.189384143776368	0.000155886001878214	NA	0.0194318347754805
SARDH	-0.328045004237235	2.94255306787505e-07	NA	0.000131850235979191
SCGB1D2	-0.130537103146262	2.21689333557151e-12	NA	4.59423432630501e-09
SCTR	-0.0956035844885907	8.72846239730052e-11	NA	9.64727853898969e-08
SERAC1	0.27821738457164	2.17430620175207e-08	NA	1.57920886112729e-05
SERP2	-0.182173254022782	1.01680191446629e-05	NA	0.00238977679291744
SEZ6L	0.248069369764463	0	NA	0
SIRT3	-0.278667290567811	6.66133814775094e-15	NA	1.84063875252605e-11
SLC19A3	-0.161326415618812	7.35151762791819e-05	NA	0.0107859124560403
SLC30A6	0.231176103750904	3.97992872880337e-07	NA	0.000173640101039029
SLC35E2B	-0.334720441034069	1.12279394670622e-08	NA	9.30740042122125e-06
SLC37A1	-0.474859552488539	0.000189405677005983	NA	0.0222706150289517
SLC6A3	0.16205680483244	8.94504083626124e-06	NA	0.00221343032872202
SLC8A1	0.245388241274274	0.000298074697803408	NA	0.0310803799678157
SMC6	0.199686042688536	0.000496575618282868	NA	0.0449875801940529
SOS2	0.270610539092944	4.76466211751791e-06	NA	0.00131655555410549
SPECC1L	-0.253485516543715	0.000120042524894171	NA	0.0162190027310368
SRFBP1	0.220663250045622	7.52295487171928e-06	NA	0.00197973125108308
STRA13	-0.368838952227083	2.15375518743954e-05	NA	0.00419574108915053
SUN1	-0.241909091150368	0.000277840143933172	NA	0.0295276393991543
TBX1	-0.105102309024193	3.8285500228552e-05	NA	0.00672532845932149
TENM1	0.329123183324	7.65223533649717e-06	NA	0.00198228765068417
TK2	-0.178066788007093	0.000373030346866088	NA	0.0368123221469814
TMED10	0.123028254834031	1.5053243910268e-05	NA	0.00332756974384444
TMEM139	0.488272815301035	0.000131324041302117	NA	0.0174177702459823
TMEM244	-0.801407888698175	0.00044869856779628	NA	0.0417919862668231
TMEM248	0.183157791715824	3.98869033173543e-05	NA	0.00681737082575688
TMEM26	-1.09405014652058	0.000155777838651394	NA	0.0194318347754805
TMEM33	0.200653974267194	1.53847346029412e-05	NA	0.00335609888134424
TMEM41A	0.214073792919994	0.000545017788636581	NA	0.0480630314776909
TMEM74B	-0.594534862296802	2.15441669664251e-05	NA	0.00419574108915053
TMEM98	0.559795869700461	0.000343017705793702	NA	0.0346761618558158
TNFSF13B	0.446261710774697	0.000183282373716454	NA	0.0217045605274649
TOR1AIP2	0.148129542810387	0.000445574488120437	NA	0.0417919862668231
TRIM7	-0.420237744142391	1.3837819778928e-12	NA	3.27738877306924e-09
TRMT2B	0.19030465667657	4.38044724715425e-07	NA	0.000186213935668129
TROVE2	0.203118635234623	8.5343182927744e-05	NA	0.0123035185196441
TTC4	-0.255096227085824	0.000242421704718776	NA	0.0271561448819769
ULK2	-0.119939129903847	0.000233769802103323	NA	0.0263650989732721
UNC5A	-0.432411222462597	1.98215056737006e-05	NA	0.00395928605499134
UNKL	-0.32319607248852	1.0234281458299e-05	NA	0.00238977679291744
URB2	0.29562739901458	1.23445698108071e-11	NA	1.86055111721247e-08
USP38	0.247557557900536	0.000227174908680627	NA	0.0257968000754529
VAMP7	0.212067794106159	6.12244942521656e-06	NA	0.00163716272613976
VASH2	0.646633173707962	1.21923632878662e-06	NA	0.000481279026070319
VPS13C	0.150575178555186	5.82482976052567e-06	NA	0.0015831123377009
WDR26	0.18483414568099	0	NA	0
WDR6	-0.293240259435097	3.73941325082505e-06	NA	0.00106889193595566
WNK1	0.331894922854073	0.000103459469460443	NA	0.0144165432266509
ZBTB46	-0.306595383718099	3.79214437629116e-11	NA	4.83615089342548e-08
ZC3H13	0.20698270993935	0.000104063381657138	NA	0.0144165432266509
ZC3H18	-0.177375947947122	0.000309360892195576	NA	0.0316598409364843
ZDHHC6	0.107326146453721	4.32381914083901e-05	NA	0.00709748490455149
ZNF124	0.348242763075926	0	NA	0
ZNF282	-0.199365492997273	2.61746527385753e-05	NA	0.00491632048771197
ZNF397	0.231445206540207	0.000258277284601816	NA	0.0281709151408783
ZNF544	-0.242478248537225	4.19634173811634e-05	NA	0.00706890264298657
ZNF628	-0.220695479425629	2.07568210242037e-06	NA	0.000702300685225048
ZNF816	-0.0728153578735073	3.44776743776976e-06	NA	0.00100281642720675
