logFC	Pval	Warning	FDR
A1BG	0.0476173710742464	0.545400102745792	NA	0.883765819476815
A2M	-0.00102064152980313	0.995815943107089	NA	0.998350866158322
A2ML1	-0.151639768192332	0.214253318353111	NA	0.692683790382803
A3GALT2	0.0480231883140811	0.685529375657673	NA	0.932093774281069
A4GALT	-0.0317864356944704	0.755585836486148	NA	0.94716359402295
AAAS	-0.118173033146437	0.0980008564334724	NA	0.532455099234802
AACS	0.0650699127593972	0.264987449156654	NA	0.734643312339185
AADAT	0.067254748325501	0.464368960938894	NA	0.85108767866833
AAED1	-0.03151959934005	0.683730849397907	NA	0.931482491268642
AAGAB	0.00511846853351253	0.894647923130977	NA	0.978705657465235
AAK1	-0.0202600246345045	0.729536286455947	NA	0.940300223135304
AAMDC	0.0325814687595172	0.685316776785213	NA	0.932019543832983
AAMP	-0.0154332809183772	0.742206917063262	NA	0.942932099422651
AANAT	0.0904172624405295	0.0264265955250684	NA	0.334923213429145
AAR2	-0.032369011446088	0.544584390937146	NA	0.883543752482204
AARD	0.209807994746443	0.0490923697686851	NA	0.41606869710359
AARS	0.0973073413598254	0.0138418522605122	NA	0.261609396332264
AARS2	0.063193535491329	0.338290522183216	NA	0.787006184793273
AASDH	0.00692209586870617	0.915494699577861	NA	0.981594531513513
AASDHPPT	-0.102225305556096	0.0553298085365013	NA	0.436693943407923
AASS	0.0330954928085349	0.698618890858514	NA	0.934641302574105
AATF	0.00116241379657064	0.985764216477127	NA	0.996917150177578
AATK	-0.0922834709806687	0.333046356424074	NA	0.783882262094716
ABAT	0.24065388514202	0.00351219358704791	NA	0.147660874301163
ABCA1	0.0347597300987973	0.680299472216132	NA	0.929998492385978
ABCA10	0.0337348904938278	0.760227728843241	NA	0.94831326759662
ABCA12	0.194542749802632	0.12444358043899	NA	0.579558671378945
ABCA13	0.169560726093053	0.641306730002595	NA	0.914985039247045
ABCA2	-0.065567135865166	0.461933428181471	NA	0.849252466181863
ABCA3	-0.0381990344469163	0.62750822411988	NA	0.909323528049076
ABCA4	0.343533506825507	0.0170848810175903	NA	0.279678701803539
ABCA5	0.070303289762248	0.381166436309606	NA	0.809083926270061
ABCA6	-0.0709357336595485	0.715822491224927	NA	0.938336247038224
ABCA7	0.280078236186524	0.00491706972939321	NA	0.16758933664521
ABCA8	-0.197861911980382	0.386891958850292	NA	0.812606185834773
ABCA9	0.0382616450164493	0.80365902745648	NA	0.96103396178649
ABCB1	0.0257353136274351	0.911568630944277	NA	0.981261299153196
ABCB10	-0.0214614010493427	0.706121910538826	NA	0.935896054361175
ABCB11	0.0576345695101051	0.648098809933133	NA	0.918038306527314
ABCB4	-0.032441802236792	0.838795604203231	NA	0.968749532400518
ABCB7	-0.109273995136221	0.0977906349249076	NA	0.532117588542374
ABCB8	0.0477834255665539	0.555293243858885	NA	0.886964551960104
ABCB9	-0.0192360036231043	0.789854014131924	NA	0.95667794014341
ABCC1	0.201640717339653	0.0105953106285472	NA	0.238578180380672
ABCC10	0.117671133314141	0.134578914243402	NA	0.595175339891484
ABCC11	0.0134582444301019	0.897479868203408	NA	0.978915781182903
ABCC12	0.0324672756376637	0.83344212587017	NA	0.967571445727713
ABCC2	0.0830379908465716	0.273649614810533	NA	0.742765876013763
ABCC3	-0.0778543519345885	0.641795949676707	NA	0.915240579253659
ABCC4	0.0933290944400438	0.229758812768723	NA	0.704298502335557
ABCC5	0.129425947449267	0.0742747555008958	NA	0.477994346018827
ABCC6	0.0859922125261545	0.322077717535933	NA	0.777185260005658
ABCC8	0.0302320017600338	0.846271641753864	NA	0.970228318364429
ABCC9	-0.0447387726042068	0.735743377303543	NA	0.941101352256427
ABCD1	0.120475973603872	0.263929482448317	NA	0.733966280840772
ABCD2	-0.0466882911143883	0.61636409664577	NA	0.905027300866982
ABCD3	-0.0180891464001907	0.711615335761732	NA	0.937445226881834
ABCD4	0.0676795241472814	0.576706072770326	NA	0.893023813541559
ABCE1	-0.054785731378191	0.440970090588988	NA	0.841148935937344
ABCF1	-0.00736145051488557	0.875824890330273	NA	0.974906897121151
ABCF2	0.0326035441657691	0.429017286706262	NA	0.835633167695271
ABCG1	0.124145369681738	0.293344292282745	NA	0.755502418658537
ABCG2	-0.1209235078262	0.576025987276852	NA	0.892771542094481
ABCG4	0.0894729523623586	0.225450605631897	NA	0.702323441996369
ABCG5	0.160069539377486	0.0184490855730643	NA	0.284715688477851
ABCG8	0.0990503959771115	0.238438785368574	NA	0.711666766101181
ABHD1	-0.0553805652655682	0.405592184330446	NA	0.82340741685692
ABHD10	-0.035109016294014	0.802017410431804	NA	0.96103396178649
ABHD11	-0.0108640830513204	0.792055208979789	NA	0.957413172346577
ABHD12	-0.0447904779110631	0.625361317078146	NA	0.908904945155437
ABHD12B	0.0765081474095977	0.482906855759612	NA	0.86134836335501
ABHD13	-0.172340215035451	0.0109906580699761	NA	0.24024107784885
ABHD14A	-0.0511717891368986	0.278662738865255	NA	0.745414940725596
ABHD14B	-0.124796547959338	0.00515188178944137	NA	0.171747024335895
ABHD15	-0.0147499892525454	0.861244305884325	NA	0.972421690919215
ABHD17A	-0.0897055273235797	0.288837769459553	NA	0.753113851820916
ABHD17B	-0.037071469838167	0.655584340635771	NA	0.919596662365797
ABHD17C	-0.120937404563045	0.0983380935821083	NA	0.533417624225035
ABHD2	0.0684046632380565	0.387771212742275	NA	0.81353862094628
ABHD3	0.0764402635126873	0.794303926277343	NA	0.958192554595673
ABHD4	-0.04117599620003	0.514577905091297	NA	0.8726019065508
ABHD5	-0.144364698727032	0.00406041159960635	NA	0.15563624635885
ABHD6	-0.0112308121527815	0.870401989140298	NA	0.973781912906769
ABHD8	-0.170434282455848	0.152300635169419	NA	0.618215303919611
ABI1	-0.0923687695520281	0.0745353976914751	NA	0.478861171951365
ABI2	-0.038520241107826	0.433815200553286	NA	0.837056070951105
ABI3	-0.101916901740459	0.423686859198122	NA	0.832956667362741
ABI3BP	-0.0280991318457399	0.851006120243703	NA	0.971094015314188
ABL1	-0.0131174399108043	0.74719012191464	NA	0.944608654947659
ABL2	0.190997612460093	0.0134860421880247	NA	0.259119903464857
ABLIM1	0.039656560911615	0.63986794853454	NA	0.914618235634381
ABLIM2	0.0895005826186416	0.494901291938153	NA	0.866844962033641
ABLIM3	-0.0912289844707818	0.424150208534748	NA	0.832986280717127
ABR	-0.104538096819405	0.0149279815396408	NA	0.266624779731727
ABRACL	0.0323444631764969	0.718431153241491	NA	0.938336247038224
ABT1	0.0436413883554604	0.356491779313532	NA	0.796620534377716
ABTB1	-0.12345801237647	0.376400822331743	NA	0.806047692648889
ABTB2	-0.130556212753399	0.611018627105337	NA	0.903789947703323
AC002310.13	-0.044476840123219	0.65343612284586	NA	0.919590384097692
AC002365.1	-0.0150881516174836	0.587848389431303	NA	0.897211517340096
AC002398.9	-0.133308149447668	0.0329435880796034	NA	0.357794742213143
AC002472.1	0.158347854845377	0.0271161638164865	NA	0.338501345307799
AC002472.13	0.127157335286171	0.651174139399429	NA	0.919120649248143
AC002985.3	-0.0052255278809548	0.924023639016118	NA	0.983380396481042
AC003002.4	0.121798703837867	0.127280897457478	NA	0.584627360785076
AC003005.4	-0.108080464730473	0.158547646325634	NA	0.627735304500279
AC003006.7	-0.127058764757558	0.222388441442104	NA	0.699433620072174
AC003101.1	0.0135089092305845	0.86145497485282	NA	0.972421690919215
AC004017.1	-0.0471665096479624	0.21530693690223	NA	0.693754970486093
AC004076.7	-0.118670988135602	0.0456751958416846	NA	0.405654707051285
AC004076.9	-0.0634074117666643	0.638356843736814	NA	0.913866436840463
AC004381.6	0.0764989772362837	0.41284716660603	NA	0.826457922299493
AC004466.1	-0.0875731874251082	0.0936736192077272	NA	0.523218368575448
AC004899.1	-0.0488237074960438	0.547611972374642	NA	0.884270805617656
AC005003.1	-0.178432424598194	0.0773335776840085	NA	0.488335524581827
AC005082.1	-0.0152305963431634	0.857073267499133	NA	0.972187722743713
AC005609.1	0.0921282338639118	0.167325867587494	NA	0.636489095661424
AC006486.1	0.0420996386927762	0.544347323411562	NA	0.883543752482204
AC006486.9	-0.0255086098364965	0.839911161308498	NA	0.968882768391542
AC006538.4	-0.0340465813845522	0.859113173966077	NA	0.972421690919215
AC006547.14	0.0895338191098792	0.0155374082613973	NA	0.268636659343754
AC006946.15	-0.255822700098508	0.0180394184311461	NA	0.282852122499413
