logFC	Pval	Warning	FDR
ADAMTS10	0.381826818483731	0.00014782411246328	NA	0.0292673715346505
ANO3	-0.426862918543015	0.000103165874007605	NA	0.0244163820155473
ARHGAP10	-0.383863281905483	6.88139793170173e-06	NA	0.00474585957988947
ASPN	-0.281040873799491	6.62584204058625e-06	NA	0.00474585957988947
ASUN	-0.267419549240292	0.000112407430281847	NA	0.0257033046567012
ATG5	-0.0975279984454252	0.00026033633740874	NA	0.0396012830486445
B3GALNT2	0.180983918542957	2.70019466834803e-05	NA	0.00974170232014007
BAI2	-0.275460461733515	2.5203042170352e-05	NA	0.00974170232014007
BPIFC	0.0610135577680771	0.000285217428334095	NA	0.0406178674224622
C11orf87	-0.304917545023716	2.59096501755707e-05	NA	0.00974170232014007
C22orf43	0.447396090385216	0.000353331480859476	NA	0.0474077404277156
CAMTA1	0.144891524799	0.000242294338432814	NA	0.0378235440813147
CNKSR2	-0.32458737819395	1.52764836336416e-08	NA	8.26712372640574e-05
CNNM2	0.108635211570465	0.000120219721206238	NA	0.026597847652204
COL23A1	0.470555934962771	2.12889707187358e-05	NA	0.00891626487728573
CRY2	-0.219661852352309	8.49929578050634e-07	NA	0.00125441879087746
CSTF2T	-0.255756108243302	1.19793070352259e-07	NA	0.000324140082861487
DHRS4	-0.640908763182904	0.000206970037516019	NA	0.0369248193304678
E2F1	-0.318529379113321	0.000232637004972114	NA	0.0378235440813147
EBI3	0.249676978194886	0.000317285878236984	NA	0.0429844993955427
EFCAB3	0.204886858490231	1.68261995470154e-06	NA	0.00203879829146753
EPB41L5	0.147645622477365	0.000224998130503806	NA	0.0377862753863869
EPB42	-0.488808393940354	0.000274427807275268	NA	0.0401090401136975
GABPA	-0.180084530748223	0.000225885194589992	NA	0.0377862753863869
GAS6	0.192339264199845	0.000164728274842707	NA	0.0322212474948355
GOLGB1	0.129979295912675	1.05022392367093e-05	NA	0.00631495755585097
GPRC5A	0.139431039591651	0.000228090852347762	NA	0.0377862753863869
GRID1	0.13172589962942	0.00027126409963607	NA	0.0400361150690146
GRIK3	0.657586174455875	0.000268220646940653	NA	0.0399501119548762
GTF2IRD1	0.294791791668206	0.000263414231436387	NA	0.0396012830486445
HCN3	0.328985991577667	2.47943764859482e-05	NA	0.00974170232014007
HDC	0.1918871770144	5.43446665177694e-05	NA	0.0157551010877855
HLA-E	-0.444632591076309	3.61741800354309e-05	NA	0.0119854655688821
IER3IP1	0.141006798187179	0.000122397583335543	NA	0.026597847652204
INPP5F	0.309190803110463	1.68102979003493e-05	NA	0.00875939419257001
IQSEC2	-0.344338104047813	8.75664741990523e-05	NA	0.0223431097042377
JMJD8	-0.179769324414879	0.000198390319256836	NA	0.0361895149790419
KBTBD3	-0.230232245494202	0.000133833467058642	NA	0.0275036245278107
KCNIP4	-0.471223661231607	5.13907467230013e-05	NA	0.0151696140554168
KIF26B	0.42700914822559	0.000220240799054139	NA	0.037637993396252
LHX6	0.636875614528821	3.02878276681184e-06	NA	0.00307326801369939
LPPR1	-0.281412791157166	0.000168138453575217	NA	0.0324967594499244
LRRC7	-0.176035194779488	6.67534683529425e-07	NA	0.00108374255871002
LRRC8B	-0.232289407163326	0.00021334190399247	NA	0.037010027072634
LRRCC1	-0.236100519726636	3.88673397688777e-07	NA	0.000701123623497477
LSM11	0.364632560629485	1.74932874548173e-05	NA	0.00875939419257001
MACF1	0.201386975062656	5.88727683648038e-06	NA	0.00474585957988947
MAML1	0.149594496737589	0.000101084404737328	NA	0.0244163820155473
MAST3	-0.279239051476942	0.000236434840608313	NA	0.0378235440813147
MCTP1	-0.34866383509623	0.000100409662619594	NA	0.0244163820155473
MEF2D	-0.254177270292217	3.91391586360701e-05	NA	0.0124155003933299
MEMO1	-0.240361320455275	3.49207054584078e-06	NA	0.00333492737127794
MICAL1	0.356580425648411	0.000141491992508014	NA	0.0287140312295951
MICU3	-0.142422425287239	0.00027669926040863	NA	0.0401090401136975
MLLT3	-0.17320100674974	1.74368786511891e-05	NA	0.00875939419257001
MMEL1	0.263593823403481	4.76040647268139e-05	NA	0.0143120739044412
MRPS27	-0.165396794729322	1.3741977609838e-05	NA	0.00796789308913284
MTMR12	-0.180037273955538	0.000116856530541165	NA	0.0263495246296641
MTX2	-0.18015952257771	0.000103771503484618	NA	0.0244163820155473
MYO19	0.26634807590103	0.000177172571344641	NA	0.0334464732067471
MYO1B	0.677195791207649	8.76657679782511e-09	NA	7.11626871563453e-05
NAA40	0.148666992782515	0.000257840638849149	NA	0.0396012830486445
NBEAL2	0.480176931565969	2.24606013217166e-05	NA	0.00911619656145171
NDFIP2	-0.362561115563028	1.63080414194994e-06	NA	0.00203879829146753
NYNRIN	0.259245375852969	6.57812853388506e-06	NA	0.00474585957988947
P2RY2	-0.342568298156085	2.70190700368822e-06	NA	0.00292436401365855
PDHX	-0.167049751318188	9.31260140113466e-08	NA	0.000302380167494842
PHF14	-0.185522650111178	2.04942817114695e-05	NA	0.00891626487728573
PHF21B	0.396686288350819	4.70381360146988e-05	NA	0.0143120739044412
PHYHIP	-0.370065258039572	0.000241542454678445	NA	0.0378235440813147
PIK3C3	-0.133756332609451	0.00012678246027642	NA	0.026731340812827
PIWIL2	-0.42415135939682	7.01574560624252e-06	NA	0.00474585957988947
PLCXD2	0.423110046036066	0.000286127613683407	NA	0.0406178674224622
PPEF1	0.487139660996852	0.000263439394472043	NA	0.0396012830486445
PPP3CA	-0.279376677324422	1.87007149723417e-05	NA	0.00875939419257001
PRKAR2A	0.224386941332376	1.7581260289834e-06	NA	0.00203879829146753
PROSER1	-0.202084703600719	2.65337248539499e-05	NA	0.00974170232014007
PRRT1	-0.393896537332582	3.21046696216687e-05	NA	0.0110897725810168
PTGIR	0.156546712335653	2.09011331551157e-05	NA	0.00891626487728573
PTRF	-0.452844143827681	3.6809911763136e-07	NA	0.000701123623497477
RELL2	0.361944221632843	3.30028446664521e-05	NA	0.0111625246491635
RFFL	-0.244123237358606	8.23213908383025e-05	NA	0.0219096357419646
RP11-302B13.5	-0.433888870667335	7.03935020536228e-05	NA	0.0193701441667893
RRNAD1	-0.147459930921191	1.83303421905645e-05	NA	0.00875939419257001
RTFDC1	-0.106569915722585	5.81455797559194e-05	NA	0.0165612892515325
S100B	-0.406368559135997	3.11017887424381e-05	NA	0.010976903048554
SEC24B	-0.0779274749399491	8.40936458816888e-05	NA	0.0220203280788583
SERPINB9	0.422535012043167	8.80787817105766e-05	NA	0.0223431097042377
SKP2	-0.156361647148038	0.000308087134458956	NA	0.0427503814353945
SLC16A7	-0.242870220940384	1.50286144349199e-05	NA	0.00841343294313531
SLC7A8	0.465316082087913	3.97663086204592e-05	NA	0.0124155003933299
SLC8A2	-0.3433756126036	0.00028771510647263	NA	0.0406178674224622
SLC8B1	0.310580096141495	1.88838187089591e-05	NA	0.00875939419257001
SNTG1	-0.263573369592833	7.85912670862032e-05	NA	0.0212654870190752
SNW1	-0.135206527737861	0.00010653037255981	NA	0.0247074371215502
SNX11	-0.108912203163522	0.000234797073083159	NA	0.0378235440813147
SP4	-0.197209348505301	0.000132371461858183	NA	0.0275036245278107
ST3GAL1	0.416237729012515	0.000313070851761132	NA	0.0429844993955427
SYF2	-0.179441262055477	6.59268842981842e-05	NA	0.0184538442513969
TERF1	-0.191124939684452	4.65504814761708e-06	NA	0.00419859481536463
TFRC	0.67918871780742	3.90536731842417e-08	NA	0.000158509096036541
TMEM132C	0.510604119186465	0.00012642525825779	NA	0.026731340812827
TPCN2	0.354019221957051	2.14188069118659e-05	NA	0.00891626487728573
TSFM	0.199247919367519	0.000194836301444568	NA	0.0359450835676427
UBE2E3	-0.232147230461737	0.000214239929310356	NA	0.037010027072634
VASP	0.210324026552411	0.00014772562536236	NA	0.0292673715346505
WDR4	0.19451808267498	0.000297905384276431	NA	0.0416939130493781
XPO7	-0.120582216660867	8.41901613157781e-06	NA	0.00546730907584663
YIPF1	0.191556830059512	0.000214286574981681	NA	0.037010027072634
ZFP1	-0.160587776669131	0.000205067728509922	NA	0.0369248193304678
ZFP62	-0.178829643912642	0.000170913971450304	NA	0.032644568547008
ZNF131	0.118061489173387	3.13039667965143e-07	NA	0.000701123623497477
ZNF138	-0.233345038151585	5.41788836017076e-13	NA	8.79594175273724e-09
ZNF250	0.170269541506177	9.75958405664556e-05	NA	0.0243764380245601
ZNF484	-0.161484226397849	8.96866212385383e-06	NA	0.00560023959926027
ZNF503	-0.334333166171577	0.000241467748468782	NA	0.0378235440813147
ZNF519	-0.212750683651787	0.000190290214350908	NA	0.0355099037929539
ZNF583	-0.169706397815439	0.000122872717826628	NA	0.026597847652204
ZNF677	-0.201002050716174	0.000317717273019102	NA	0.0429844993955427
ZNF780A	0.158274430180177	6.49198924551619e-06	NA	0.00474585957988947
ZNF831	-0.34659129217317	3.92468542478319e-05	NA	0.0124155003933299
