Gene	ModuleColor	kWithin
1	A1BG	grey	3.64628272452743
2	A2M	magenta	2.92908014843114
3	A2ML1	lightcyan	1.4736760929119
4	A3GALT2	grey	1.7128226562885
5	A4GALT	grey	1.13924795002888
6	AAAS	purple	1.53130555325815
7	AACS	purple	1.41054619888615
8	AADAT	blue	5.9114727322796
9	AAED1	darkorange	1.97856159851412
10	AAGAB	black	1.76523523764105
11	AAK1	pink	6.9528478621464
12	AAMDC	turquoise	7.0273686745196
13	AAMP	grey	2.76681850280072
14	AANAT	grey	3.93084751998142
15	AAR2	midnightblue	2.23780494020046
16	AARD	grey	6.42491766045963
17	AARS	grey	1.83740881843857
18	AARS2	purple	3.378602931124
19	AASDH	grey	3.19158899491819
20	AASDHPPT	grey	5.06449154173867
21	AASS	brown	4.65715139578692
22	AATF	grey	1.63728226931022
23	AATK	greenyellow	3.71757827090073
24	ABAT	grey	11.4727392658148
25	ABCA1	darkred	0.727410067310244
26	ABCA10	cyan	2.53754622298694
27	ABCA12	darkred	1.77226100056722
28	ABCA13	darkorange	1.20522088880051
29	ABCA2	brown	12.8023388358394
30	ABCA3	greenyellow	4.3963532431288
31	ABCA4	grey	14.4707568077642
32	ABCA5	red	2.08366772740927
33	ABCA6	grey	1.90599822223055
34	ABCA7	grey	3.31963216667969
35	ABCA8	turquoise	36.4983743286875
36	ABCA9	cyan	1.41893291683478
37	ABCB1	grey	3.06616573551317
38	ABCB10	red	3.55905306878505
39	ABCB11	cyan	4.68192217597192
40	ABCB4	turquoise	9.60376675766236
41	ABCB7	turquoise	6.30577969903337
42	ABCB8	greenyellow	3.51631138204038
43	ABCB9	grey	1.64711230668435
44	ABCC1	darkred	2.06158071355457
45	ABCC10	purple	2.92760611732974
46	ABCC11	black	0.475868763366181
47	ABCC12	grey	2.58900571710049
48	ABCC2	grey	1.78055074821796
49	ABCC3	pink	1.19444239698373
50	ABCC4	yellow	2.3049727964145
51	ABCC5	greenyellow	0.705518090538313
52	ABCC6	grey	2.28172904184291
53	ABCC8	greenyellow	3.73835601513794
54	ABCC9	blue	1.98616804071288
55	ABCD1	greenyellow	2.12058225536912
56	ABCD2	grey	2.35138574808613
57	ABCD3	turquoise	13.1506122109595
58	ABCD4	royalblue	2.28013080736667
59	ABCE1	grey	6.20412644533687
60	ABCF1	tan	1.69877320821122
61	ABCF2	tan	2.74347051386833
62	ABCG1	grey	4.40336876072267
63	ABCG2	grey	3.3731338431503
64	ABCG4	darkred	3.9292582349848
65	ABCG5	black	2.48039887043537
66	ABCG8	grey60	0.768762266332739
67	ABHD1	brown	12.6008339261416
68	ABHD10	grey	4.25957960897383
69	ABHD11	grey	1.77122802464518
70	ABHD12	salmon	3.02789734924716
71	ABHD12B	blue	6.67212707519555
72	ABHD13	grey	3.67941737570888
73	ABHD14A	grey	2.47540821931679
74	ABHD14B	turquoise	9.83703964657042
75	ABHD15	grey	2.51863039151184
76	ABHD17A	green	11.1983044321949
77	ABHD17B	brown	17.5916701971079
78	ABHD17C	darkgreen	1.85074609954819
79	ABHD2	tan	3.53657219630258
80	ABHD3	lightcyan	12.3596873269321
81	ABHD4	grey	2.93646321709119
82	ABHD5	brown	2.03493067156884
83	ABHD6	darkorange	2.45884322071004
84	ABHD8	green	7.92967717057557
85	ABI1	salmon	3.20995564434094
86	ABI2	grey	3.94939826230963
87	ABI3	grey	2.83188307799675
88	ABI3BP	blue	1.68670769558679
89	ABL1	magenta	6.12716709530838
90	ABL2	grey	2.68651820803427
91	ABLIM1	grey	6.52347380178425
92	ABLIM2	grey	2.70095778489775
93	ABLIM3	grey	2.75891794848713
94	ABR	green	5.79134120107322
95	ABRACL	turquoise	4.58487184616264
96	ABT1	grey	1.35042356482678
97	ABTB1	magenta	3.69065073010853
98	ABTB2	turquoise	13.1290237568928
99	AC002310.13	green	11.0153042768178
100	AC002365.1	magenta	5.51819030689136
101	AC002398.9	grey	4.87085205686866
102	AC002472.1	grey	3.06989779402971
103	AC002472.13	red	0.854857023913628
104	AC002985.3	magenta	3.16304035639704
105	AC003002.4	yellow	3.39225813098845
106	AC003005.4	grey	3.35393705092203
107	AC003006.7	pink	4.98789066075929
108	AC003101.1	yellow	4.88311719658275
109	AC004017.1	grey	1.71200942611044
110	AC004076.7	grey	2.76249680228739
111	AC004076.9	grey	0.894326499356817
112	AC004381.6	grey	3.79168035330799
113	AC004466.1	grey	1.78784215042865
114	AC004899.1	grey	2.34974427643377
115	AC005003.1	green	4.3071843052357
116	AC005082.1	magenta	2.76899327730797
117	AC005609.1	grey	2.47800090303007
118	AC006486.1	turquoise	6.36750012214853
119	AC006486.9	yellow	8.47072007262856
120	AC006538.4	green	7.24315248174827
121	AC006547.14	darkred	1.27414997398204
122	AC006946.15	midnightblue	6.04049491000964
123	AC007040.11	grey	1.43430357104024
124	AC007382.1	turquoise	1.5683142314265
125	AC007401.2	grey	2.92580464712637
126	AC007461.1	grey	1.72892191978047
127	AC007557.1	grey	4.26928454835315
128	AC008060.7	grey	4.3294755592694
129	AC008271.1	greenyellow	8.36360536280337
130	AC008387.1	grey	2.15913537269412
131	AC008394.1	grey	1.61822680323149
132	AC008443.1	darkred	2.69915314976421
133	AC009065.1	grey	2.49157985079868
134	AC009403.2	grey	4.5390602630439
135	AC010336.1	grey	1.83827731126895
136	AC010536.1	darkgreen	1.36006772593228
137	AC010547.9	greenyellow	3.50537780215136
138	AC010642.1	magenta	3.54219321430066
139	AC011484.1	grey	2.26766204918031
140	AC011530.4	grey	2.95337516234359
141	AC011997.1	grey	3.31152389341257
142	AC015688.3	turquoise	26.8357736855863
143	AC015987.2	grey	1.57081424697191
144	AC016757.3	grey	2.36107577618034
145	AC018755.1	magenta	1.0156796412971
146	AC018816.3	tan	3.0595009870301
147	AC019171.1	grey	1.63752256044356
148	AC021860.1	darkgreen	3.98766618277338
149	AC022431.2	red	3.8572647663827
150	AC022532.1	grey	3.37964375981698
151	AC023590.1	purple	1.00354680628139
152	AC024257.1	grey	3.73912206744543
153	AC025263.3	grey	2.06314925971327
