SIZE	value	Rows
1	454	18.6500226052567	black
2	909	22.8484266993562	blue
3	800	22.6204937745814	brown
4	280	4.16331785792091	cyan
5	209	5.52584271810435	darkgreen
6	200	18.1278210487584	darkgrey
7	145	4.7418601839957	darkorange
8	213	14.3607065442494	darkred
9	208	10.383378284286	darkturquoise
11	613	32.1015876689505	green
12	418	11.1594653029592	greenyellow
14	221	6.76695583704688	grey60
15	228	9.72228671476675	lightcyan
16	230	8.11842738043584	lightgreen
17	226	7.9586844170501	lightyellow
18	439	2.33839192578159	magenta
19	239	9.10290335096981	midnightblue
20	164	12.2991076567864	orange
21	450	28.3758345604129	pink
22	430	6.66324027960171	purple
23	484	12.098178068905	red
24	222	12.2676465836656	royalblue
25	296	13.6584113681512	salmon
26	122	10.8064962908261	skyblue
27	318	9.83473737802636	tan
28	923	25.9016161000511	turquoise
29	134	12.4397783738298	white
30	643	18.2498938933007	yellow
