SIZE	value	Rows
1	458	22.5263271944155	black
2	905	25.6274246717394	blue
3	805	35.9700799660117	brown
4	278	17.9850513439212	cyan
5	211	12.6576772951015	darkgreen
6	208	24.0067961634257	darkgrey
7	147	4.85394287711124	darkorange
8	215	6.91267225029906	darkred
9	208	6.61837528247621	darkturquoise
11	620	40.2709276831688	green
12	420	10.1560068110678	greenyellow
14	228	9.3946634374348	grey60
15	231	11.452970506318	lightcyan
16	232	6.73097630391752	lightgreen
17	225	18.5598660124325	lightyellow
18	451	11.2961395246091	magenta
19	239	20.1257178042335	midnightblue
20	166	13.3149681622836	orange
21	456	26.2726430760342	pink
22	442	14.1100846584772	purple
23	492	20.7991895530579	red
24	220	7.45790376682348	royalblue
25	305	10.4960317989069	salmon
26	121	9.07978958329691	skyblue
27	319	13.8164091037736	tan
28	939	40.1564978877712	turquoise
29	134	12.5979902257233	white
30	653	17.5175796845441	yellow
