Diagnosis	Sex	Age	PMI	RIN
MEblack	0.117948717948718	0.0520265981714472	-0.00582492450321951	0.00239480042373964	0.0712819048989941
MEblue	0.18974358974359	-0.0520265981714472	0.0236423406307145	0.1501881980031	-0.17477774758888
MEbrown	-0.394871794871795	-0.0404651319111256	0.112044136032516	-0.102976418220805	0.171008031464414
MEcyan	0.384615384615385	-0.0057807331301608	-0.014733632566967	0.138214195884402	-0.146333525922454
MEdarkgreen	-0.292307692307692	0.0173421993904824	0.0287819798982611	-0.0301060624698698	0.0846472620675555
MEdarkgrey	0.148717948717949	-0.0173421993904824	0.0901150084909841	-0.042080064588568	0.0753943224893207
MEdarkorange	0.0256410256410256	0.0173421993904824	0.0561933893251764	-0.00444748650123076	-0.0603154579914565
MEdarkred	0.333333333333333	-0.0173421993904824	0.0692138088029612	0.0547382953997632	-0.119260110119471
MEdarkturquoise	0.353846153846154	-0.0404651319111256	-0.0812063004272366	0.101265846489562	-0.104523947087467
MEgreen	-0.21025641025641	-0.028903665650804	-0.0513963926754662	-0.0410537215498224	0.0167923718271669
MEgreenyellow	-0.128205128205128	0.0057807331301608	0.00719549497456527	-0.0157372599274319	-0.0349555495177759
MEgrey60	0.0153846153846154	0.0173421993904824	-0.176803590803604	0.00650017257872188	0.0462646978911741
MElightcyan	-0.00512820512820513	-0.028903665650804	0.0126777768599483	-0.0810811000608993	0.0788213371479261
MElightgreen	-0.384615384615385	-0.0173421993904824	0.0620183138283959	-0.0448169793585561	-0.00548322345376878
MElightyellow	0.497435897435897	0.0404651319111256	0.0311804782231162	0.113581962954509	-0.117889304256029
MEmagenta	-0.0358974358974359	0.0404651319111256	-0.102450142733096	-0.026342804661136	0.0760797254210418
MEmidnightblue	-0.405128205128205	-0.0751495306920904	-0.0041117114140373	-0.042080064588568	0.0822483518065316
MEorange	0.0256410256410256	0.0057807331301608	0.130204194777848	-0.0195005177361656	-0.0383825641763814
MEpink	-0.0256410256410256	-0.0173421993904824	-0.0918282215801663	0.0338693202786035	0.0253599084736806
MEpurple	0.0871794871794872	-0.0057807331301608	-0.0870312249304561	-0.0875812726396211	0.0695683975696913
MEred	0.117948717948718	0.028903665650804	0.0548228188538306	-0.0461854367435502	0.00993834250995591
MEroyalblue	0.241025641025641	-0.028903665650804	-0.0486552517327747	0.0400273785110768	0.0798494415455078
MEsalmon	-0.261538461538461	0.0520265981714472	-0.0246702684842238	-0.109476590799526	0.0808775459430894
MEskyblue	-0.220512820512821	-0.0173421993904824	0.0102792785350932	-0.0451590937048047	-0.0479782052204768
MEtan	-0.0769230769230769	-0.0520265981714472	0.0774372316310358	0.0725282414046863	-0.10006882803128
MEturquoise	-0.18974358974359	-0.0057807331301608	-0.00719549497456527	0.0201847464286627	0.059972756525596
MEwhite	-0.487179487179487	-0.028903665650804	0.0373480453441721	-0.0923708734871004	0.0469501008228951
MEyellow	0.0769230769230769	0.028903665650804	-0.185712298867351	0.0136845738499408	0.0753943224893207
