Diagnosis	Sex	Age	PMI	RIN
MEblack	0.566067032065429	0.800725448347234	0.977470094993969	0.990736325610613	0.729318147652282
MEblue	0.353202355762378	0.800725448347234	0.908730842248775	0.463974215013095	0.393123668204888
MEbrown	0.0458897104380586	0.844402874376613	0.585796048824785	0.616660360094074	0.40356727911716
MEcyan	0.0523695353242791	0.977640978331155	0.943050839104297	0.500731521716633	0.475651073699575
MEdarkgreen	0.147324117788825	0.932988628009893	0.888999261160953	0.883925920269537	0.680977338827126
MEdarkgrey	0.468410284768645	0.932988628009893	0.661536952009987	0.838271866323108	0.714326456342962
MEdarkorange	0.901050789719464	0.932988628009893	0.785118767775522	0.982796919207513	0.76975872304195
MEdarkred	0.0960999071279003	0.932988628009893	0.736894486074989	0.790559955182583	0.56172616408665
MEdarkturquoise	0.0761597225935061	0.844402874376613	0.693315004170554	0.622556683942388	0.61134589391687
MEgreen	0.302561279261854	0.88853283066815	0.803092530326338	0.842167283174466	0.935108734620763
MEgreenyellow	0.532526491428625	0.977640978331155	0.972170761706902	0.939178386018706	0.865384136526602
MEgrey60	0.940538900885827	0.932988628009893	0.387575224209113	0.97485910725266	0.822428650752853
MElightcyan	0.980164342551688	0.88853283066815	0.950987111576328	0.693765374627371	0.701911462827109
MElightgreen	0.0523695353242791	0.932988628009893	0.763437619948768	0.827902442752682	0.978791441224414
MElightyellow	0.00972057246767053	0.844402874376613	0.87981246271035	0.580629021658817	0.566264054859482
MEmagenta	0.861790601476856	0.844402874376613	0.618471985643334	0.898356186783778	0.711837671931337
MEmidnightblue	0.0400588767620183	0.715216017424036	0.984095544980172	0.838271866323108	0.689570486189583
MEorange	0.901050789719464	0.977640978331155	0.526100714978694	0.924670696632	0.852322229101481
MEpink	0.901050789719464	0.932988628009893	0.655488651742266	0.869531608725702	0.90213048922035
MEpurple	0.671948516367673	0.977640978331155	0.672475951316533	0.670519946512345	0.735593749205429
MEred	0.566067032065429	0.88853283066815	0.790243623490003	0.822728128613083	0.961569168401931
MEroyalblue	0.235568134693372	0.88853283066815	0.813407814193369	0.846066318748531	0.698201270116336
MEsalmon	0.196840704975831	0.800725448347234	0.904779934912276	0.594467069960243	0.694497815093384
MEskyblue	0.279032826042683	0.932988628009893	0.960251798510404	0.826608199930497	0.81596037375982
MEtan	0.708779297161033	0.800725448347234	0.70691688940288	0.72476413929941	0.626696341134071
MEturquoise	0.353202355762378	0.977640978331155	0.972170761706902	0.922035318901662	0.771032598300922
MEwhite	0.0115949855587406	0.88853283066815	0.856261416507785	0.653577261431852	0.819839959702461
MEyellow	0.708779297161033	0.88853283066815	0.363711534405462	0.947099932859405	0.714326456342962
