logFC	Pval	Warning	FDR
A1BG	0.425028716762628	0.0956463946327317	NA	0.706357721173629
A1CF	-0.00375629200221038	0.924519316600267	NA	0.993670179699892
A2M	-0.850545006827275	0.134452216132614	NA	0.787438461887725
A2ML1	0.342198314113545	0.0855771267089955	NA	0.685028810033097
A3GALT2	0.34797419663614	0.319128331826948	NA	0.915235372986685
A4GALT	-0.499893138959038	0.361555400597348	NA	0.932696082106668
AAAS	-0.0944603736003568	0.688938383518653	NA	0.975349611229384
AACS	0.368496061569079	0.14431528075159	NA	0.800769047663951
AADAT	0.121759188281481	0.82239521714285	NA	0.984423312434584
AAED1	-0.40326416807337	0.0571243651420945	NA	0.583017104012498
AAGAB	-0.202578134555093	0.492547357243212	NA	0.951686224267189
AAK1	0.405954125603525	0.133096148216453	NA	0.786815904577156
AAMDC	0.201721975745651	0.494806417644768	NA	0.952346011465459
AAMP	0.262993157372215	0.305282951936528	NA	0.91431978327155
AANAT	0.207475809110756	0.337180823133282	NA	0.922175355822695
AAR2	0.34270597734534	0.220975529286906	NA	0.872179237335145
AARD	0.25815891833829	0.547319575594872	NA	0.957013249607668
AARS	-0.118411581376239	0.547318229822444	NA	0.957013249607668
AARS2	-0.0419950596187163	0.842169390551653	NA	0.986864016182907
AASDH	0.0851026388852491	0.399805415990249	NA	0.937145100880312
AASDHPPT	-0.242998315886167	0.187499382673059	NA	0.854724636446804
AASS	0.375197600276323	0.0257117123393307	NA	0.386786105673465
AATF	-0.185472494325524	0.224123242149734	NA	0.876289001856385
AATK	-0.0755717390659447	0.869321840513482	NA	0.988407268993609
ABAT	0.724070143630459	0.155311824155917	NA	0.8161881625222
ABCA1	0.77694784817317	0.125672394534448	NA	0.774354613743135
ABCA10	-0.318055953776173	0.00105713961838161	NA	0.0494848737021705
ABCA12	-0.190453989293571	0.788674105940406	NA	0.982316699360219
ABCA13	0.0269540822732937	0.976821069788616	NA	0.999903543617542
ABCA2	-0.276019412056556	0.534984407143948	NA	0.957013249607668
ABCA3	0.282695583892502	0.235387035754064	NA	0.882421720148905
ABCA4	-0.218210635057617	0.749141039362308	NA	0.979168928946111
ABCA5	-0.460642860379318	0.0342813257815544	NA	0.452055680519275
ABCA6	0.10159285721544	0.901179747694701	NA	0.991290951007134
ABCA7	0.522151472930609	0.141952413476263	NA	0.798076406460697
ABCA8	-0.491442723271697	0.393992182650118	NA	0.936989087020926
ABCA9	-1.01105267785353	0.000813552966799413	NA	0.0411572428358308
