logFC	Pval	Warning	FDR
ABCA10	-0.318055953776173	0.00105713961838161	NA	0.0494848737021705
ABCA9	-1.01105267785353	0.000813552966799413	NA	0.0411572428358308
AC003006.7	-0.523233650504205	0.000840132411862093	NA	0.042111958296121
AC004381.6	-0.555502458591866	0.000907534491841	NA	0.0445371193286402
AC135048.1	0.451205428529702	6.97738712254203e-05	NA	0.00635368624031036
ACBD7	1.18616663667366	0.000297289024778324	NA	0.018785744567392
ACOT6	0.174005655479957	0.000849697113964876	NA	0.0423324784042501
ACSBG2	-0.308671614954859	2.84626755431283e-06	NA	0.000457384034144526
ACTG2	-1.31623080280525	3.98736531348476e-07	NA	9.17910683112132e-05
ADSL	0.318265675979738	4.34033464591366e-06	NA	0.000652682799827255
AFAP1L1	0.425340533228437	1.8070961171901e-08	NA	6.17085676184644e-06
AKR1C2	-1.08175964851715	4.25156354566525e-10	NA	2.24797993796771e-07
ALDH7A1	0.663833491908217	0.000233840129927554	NA	0.0154297344670635
AMICA1	-1.54163562808216	3.6713740187988e-06	NA	0.000557198995760473
ANO9	0.580528843850421	1.84584791895759e-10	NA	1.08054618712978e-07
AP003774.4	0.56476346857036	0.00105967852293709	NA	0.0494848737021705
AP1S2	-0.572600557235774	5.99135975498655e-07	NA	0.000129216286505243
APCDD1	0.726943746828465	2.87023000211661e-05	NA	0.00313639599764623
APOL4	-0.741574494853002	0.000848878475766535	NA	0.0423324784042501
ARHGAP11A	-0.847363265260605	2.17165400540065e-05	NA	0.00256083315126058
ARHGEF39	-0.275812613219609	4.5002405031358e-05	NA	0.00444358084860837
ARL4D	-1.29014434104756	1.40428185422259e-05	NA	0.00175706747118797
ARMCX2	-0.463292044112718	0.000140081055016061	NA	0.0107292923961134
ARSF	1.05938750268417	9.30201951909737e-07	NA	0.000192999242958892
ASNS	0.232583835961492	0.000218413441765319	NA	0.0148548328795658
ASTL	0.715902024522886	5.21608310866117e-05	NA	0.00497074524616659
ATP13A4	1.02608173863504	9.92531310961553e-05	NA	0.00821645490806607
ATRIP	-0.375061879467966	2.98524243045328e-05	NA	0.00324047077334833
B9D2	0.603186081362326	0.000452611191263497	NA	0.025759548736111
BIRC5	-0.740339168507564	0	NA	0
BMP5	-2.21838795664454	7.15374040154426e-05	NA	0.00647828502329901
BMP7	1.40802651886895	7.30999162734669e-06	NA	0.000998483939698663
BRIP1	-0.967898308992408	0.000537729916339158	NA	0.0295769498614602
BST1	-0.839558249315079	8.10462807976364e-14	NA	7.81429169737681e-11
BUB1B	-0.779178776335221	4.57514410312498e-06	NA	0.000675596279228123
C11orf83	0.353503710556994	4.63612810830405e-06	NA	0.000678489069850104
C15orf60	-0.310357314848388	2.7435625976846e-05	NA	0.00308011880401701
C1orf168	0.888595090965199	0.000870744573499449	NA	0.0432496191037257
C1orf186	-0.432084174717028	0.000125223794656737	NA	0.00986799624143546
C2orf27B	0.715223761798676	4.35562507521414e-05	NA	0.0043799417550819
C2orf68	-0.421301876142822	3.34388585043754e-07	NA	7.82994756778883e-05
C3orf17	-0.373078924527793	0.00054456974363104	NA	0.0298529855112254
C5orf54	-0.748413734747606	9.55810248095545e-05	NA	0.00797373078062252
C5orf66	-0.723925040208582	2.67447668449439e-05	NA	0.00302326533348603
C8orf4	-1.40108644932692	0.00098200925136438	NA	0.0472546199576701
CARF	-0.322720362540649	0.00104973987575918	NA	0.0494848737021705
CBFA2T3	0.156570846513896	2.22248131009906e-09	NA	1.01554216142614e-06
CCDC88B	0.87044565194383	1.64290803184031e-12	NA	1.28232883570926e-09
CCNK	-0.460072365004562	0.000825223588862833	NA	0.0414915332670267
CD52	-0.512999480621448	4.56783372548841e-06	NA	0.000675596279228123
CD8B	-0.393031712982798	9.00540266604022e-05	NA	0.00772814424602436
CDH15	-0.202585399971203	2.06155917514828e-06	NA	0.000360125971083211
CDH20	0.504543646422397	4.10012216984779e-05	NA	0.00417422996807299
