SZ_861	SZ_867	SZ_862	SZ_865	SZ_866	SZ_868	SZ_869	SZ_871	SZ_873	SZ_872	SZ_863	SZ_864	SZ_870
A1BG	1.09998689515989	1.61714853724752	1.17802982565116	2.05784894683812	1.85765519910348	1.57304663975335	1.66926150401426	1.02204571340923	0.895009271404778	0.632715757076369	1.24211982462518	2.00015226175968	0.888652580571832
A1CF	0	0.0140784567760159	0.064928377608182	0	0.0301375357987472	0.0762839115826164	0.143579924196042	0.189052674902702	0.0742754014454948	0.163082207805618	0.0163116376540583	0.0281104671432627	0.0762839115826164
A2M	6.53201034215593	7.44625606352449	6.37937395737055	6.46793419545035	6.8172789369953	6.58152393257443	6.20243257181136	7.2617529344555	6.84887223239057	6.39148124534074	7.48541842812902	6.20080683385273	7.44438037273354
A2ML1	2.55609628163857	2.78693906667476	2.91722659770753	3.01120300974783	2.88697658474324	2.58519876210476	3.15690431425466	3.7707298306556	3.97153091640617	3.1668259020794	2.21705887289828	2.68181290610649	2.49191682471017
A3GALT2	0.267799424755768	0.39075645537657	0.293633430244801	0.632715757076369	0.6606166679461	0.707772961253448	1.5322719767773	0.688253929340856	1.39316490264798	0.356881390252138	0.50491687174613	0.494531317006402	0.425279265173498
A4GALT	1.24211982462518	1.40563907059942	1.60497588930105	0.999846361308973	1.09073520381476	0.689801829516571	1.84479289158496	1.73211834832204	1.65595507660678	0.632715757076369	1.7846792951161	1.50083069965902	1.24211982462518
AAAS	3.01899611282531	3.59554462005814	3.22564987309113	3.12786620733756	3.11701044575779	2.96660757471088	2.98940356787163	3.40403815482287	4.00915558281702	2.99637712128862	3.10664413221853	3.52670613779996	3.24324971980193
AACS	5.36353622027855	5.20473920073295	5.33979699760756	5.85318768679437	6.43279627540058	6.08103577535731	6.02953523648232	5.62015391854427	4.98803099800415	5.59484621224529	5.43988908920707	5.26043217171237	5.65232225749732
AADAT	3.53818356575482	3.32726147973727	3.2500345436715	3.16956450699102	3.35171099817273	3.48768799959102	3.46556474129885	3.57371929333998	3.37797382212856	4.07500738950473	2.7376799480681	3.93651368413573	3.98779966818509
AAED1	2.56479393750076	2.64812742908643	2.4618196732984	2.12061858319768	2.02250265653188	2.50986702467939	2.19494069121021	2.43587881761785	2.1875782872785	2.31773250459708	2.65203969216533	2.67335094050847	2.29293702877321
AAGAB	5.78676335138086	5.72965011181955	5.4577971449854	4.79112899539159	4.87678138706222	5.37631790812635	5.0063014313352	5.19761686792764	5.25800257403487	4.99026404247489	5.5055491733994	4.90660003102433	5.55234913106392
AAK1	8.68800770440805	8.32998741080798	7.97732909892358	8.30249562272542	7.93773716372079	8.05661087290984	8.51376809959403	7.8224990007102	7.8224990007102	8.16701775923898	7.91167278975307	7.98701385279112	8.42004755926114
AAMDC	3.17415377858793	3.53015187408674	4.09499662986134	3.87459433265474	3.26796303825362	3.71520318043249	3.93336470912116	3.83445130410922	4.06742472557193	3.70503789996842	3.36075347928724	4.65290732382595	3.52639283401649
AAMP	5.00760335219453	5.60019761837434	4.91322492298124	4.47075286284419	4.8718661880012	4.46141349887793	4.34458153666058	4.02038147390998	4.34369707294109	4.08117382063577	4.69371503760098	4.73972614149044	4.77525637339526
AANAT	0.219181499685753	0.213932472794385	0.180265889784059	0.256771646214119	0.374924141286954	0.653180374379711	0.596238370040563	0.365251203972016	0.193073754742296	0.590435225816822	0.170981334519903	0.180265889784059	0.259178597418935
AAR2	3.5515896407729	3.62730524739749	3.5206073849133	3.46733853248063	3.7045036257466	3.62842127701439	3.76715884528757	3.40403815482287	3.36876134547956	3.54543238752208	3.09063038183161	3.93283101393455	3.45392623948593
AARD	0.219181499685753	0.875677635385202	0.199506288348942	0.965989842428505	0.880233423717167	0.368462133424651	0.0301375357987472	0.757193707861598	0.137924551894723	1.00085866759105	0.120549762277012	0.180265889784059	1.39145883880478
AARS	7.10702739632727	7.4828651638194	6.83714860848431	6.20113458998749	6.60824489907258	6.47559942871351	6.65477757992154	6.50190122065873	6.48393692526624	6.43740165874081	6.77318337599079	6.95150903498657	7.19145414263643
AARS2	3.93708347676304	3.9449662213776	3.7575243754237	3.90464282470997	4.23269313839167	3.86448734090333	4.07393125365517	3.89568364511408	4.07334790687564	3.7597501844547	3.91693026663123	4.14418130288737	3.67995026304025
AASDH	4.71251584325947	4.6203554232288	4.9748145780598	4.69473652825267	4.54276554479853	4.69394381656455	4.16372645613384	4.34422948771562	5.0292168090454	4.90490726930479	4.62827350634605	4.85769457442463	4.15052965371089
AASDHPPT	6.66461228475737	6.87545398821605	5.9989494921195	5.87221623487822	5.61962848999319	5.91298526269515	4.82410980428051	5.44151189862522	5.51429001471318	5.49606637377075	6.14775032825434	5.87702596136097	6.16236050478636
AASS	4.57878650339678	5.42736642474799	5.63929544084061	5.35486087012427	5.16834021218439	5.06547257156666	4.97009791346897	4.98614764421847	5.70224943416703	5.26224990489379	4.91290326815374	5.89492080563805	4.88478629962704
AATF	4.80338053969367	4.71467964719728	4.97245889785076	4.99466668837385	4.8718661880012	5.2312709854126	4.99423595519601	5.31413207804655	5.42099515407224	5.09125833953166	4.92347260473005	5.33948641711846	4.95135509978374
AATK	6.09638416936621	7.09170046150653	6.44087451108967	6.66355164451822	7.15285068374702	6.57381406333054	6.58649373831988	6.28056619306075	6.94572724528381	5.89492080563805	6.53948583184291	8.05171396338861	6.15749602552647
ABAT	7.12512916781644	7.33907954285261	6.86587103684436	7.58449386871404	7.52598913224301	6.83688047121132	7.15574234753663	7.13218205240624	7.00230483197431	7.88864970014322	6.46988372755537	6.68202892986499	7.88997174680676
ABCA1	5.68771433474801	5.93732884511642	6.92251027813689	7.02808623349835	6.71809789704262	6.14682993212502	6.49826621029667	6.09163545047157	7.29312380470315	6.76025184446295	6.49631613522198	5.63895082467384	6.07687454034426
ABCA10	5.34171233635852	5.0393027353609	5.37411295728521	5.02937911254116	5.40004609552963	5.30669155063638	5.31063349101172	5.60283354662548	5.25800257403487	5.85074491327745	5.55199295696016	4.96410689567447	5.66278686696294
ABCA12	1.14244295375454	0.278318066342227	0.374924141286954	0.448667220448249	1.83499333026804	0.259178597418935	0.479238597019147	1.13957905642195	1.41856886082644	1.38181613597984	0.219181499685753	0.526839633429882	1.84503933957135
