SZ_861	SZ_867	SZ_862	SZ_865	SZ_866	SZ_868	SZ_869	SZ_871	SZ_873	SZ_872	SZ_863	SZ_864	SZ_870
A1BG	1.28273056436544	1.56027245195832	1.22375377629914	1.63086922991546	1.61049074089727	1.21303534088429	1.46955323845379	1.14395850110395	1.43426123839429	1.4348427891533	1.1592730621363	1.23260434530677	1.33802767774654
A1CF	0.0745333359948474	0.0523615623304714	0.0957187239633413	0.0224067124819821	0.0528299570966906	0.10354202727642	0.0706088281243124	0.0720730447797089	0.0607162614325752	0.0683003306295443	0.0570706305249678	0.0806905927899602	0.0652724990705343
A2M	6.42821106610193	6.96681749996559	6.46329805341284	6.70240960301278	6.84842443257489	6.56054985366474	6.59495739187872	7.10525159491052	7.07469711721097	6.36987558909601	7.6852633368063	6.53550126017446	6.72426524797474
A2ML1	2.7679345489028	3.09265496804237	3.09073655152587	3.04663663337305	3.09646334732929	2.80736257132106	3.05537845332201	2.83800737426434	3.04034075254261	2.8225927596013	2.84766211613304	2.75849995243556	2.93614984093415
A3GALT2	0.34712458867657	0.955026670793863	0.593984183470476	0.618571264619823	0.781489434030996	0.832398054044911	0.798127766823452	0.468519235120686	0.89194305996663	0.517765240562277	0.673070039658271	0.335932287534234	0.53464252429517
A4GALT	1.08162951974184	1.30164246952018	1.789255066496	1.12131770251672	1.40230154363044	0.951145438972026	1.26852498304394	1.71015074220369	1.45698351069554	0.847569241725801	1.84803659548987	1.22856709265223	1.4192061654681
AAAS	3.08156010194823	3.36771966560014	3.27974470874942	3.19970813711145	3.3997914915082	3.13237073442506	3.26628781131838	3.30820142125675	3.38141137179334	3.08605787069207	3.45172397339975	3.13491918750475	3.23775277509383
AACS	5.57991308214837	5.75309272354288	5.46076075741649	5.58189902553587	5.90342768017282	5.64037684049819	5.71938060191366	5.36616806619943	5.6465116949186	5.75525881862675	5.33034815700779	5.58729068128626	5.53587391059698
AADAT	3.87491256020843	3.23712189523716	3.41232300415186	3.32845924508956	3.54765549426269	3.5937538258967	3.4688754067306	3.35099833492516	3.19567055001667	3.90143863087364	2.98551740318205	3.88407296617425	3.49790232383063
AAED1	2.47369880062918	2.2425762214683	2.38817226983746	2.17485097637971	2.15425907081423	2.59291267339573	2.28504785094382	2.56242705509568	2.34257645113664	2.37361312835686	2.59739835866725	2.50363148508211	2.39102292463822
