logFC	Pval	Warning	FDR
AMDHD2	0.251600620095466	9.35172078748714e-05	NA	0.0377298734729806
BANK1	-0.490059228579063	7.58716406545901e-06	NA	0.00831962808698256
C3orf33	-0.244552964143503	2.98836972678629e-05	NA	0.016233809627189
C5orf49	-0.264618727109225	0.000128169958898416	NA	0.0438731341916188
CEP44	-0.214184008780333	8.12882192668951e-07	NA	0.00159995537572066
CNOT8	0.204860797623592	6.32010521435244e-05	NA	0.0284332504871982
CSTF2T	-0.194618691787987	1.93938367365476e-07	NA	0.000763438383134196
CTHRC1	0.214610326688134	2.28940848112646e-05	NA	0.0156171010095402
DEXI	0.265144552157426	5.73819558757904e-07	NA	0.00135825362913275
DHRS4	-0.543305701799187	9.82809638310211e-05	NA	0.0377446843044697
EPB42	-0.479014369123901	1.79744253496761e-05	NA	0.0141512650778
F8A1	-0.589611750489949	8.08676250874107e-06	NA	0.00831962808698256
FAM115C	0.443303032262763	1.98849193269179e-05	NA	0.0149099018915071
FOXP4	0.37596524674575	2.05590014212831e-06	NA	0.00359691151532804
FSD1L	0.131168409560527	9.58462427866902e-05	NA	0.0377298734729806
GALNS	0.259241219448012	8.55864802229434e-06	NA	0.00831962808698256
GBE1	-0.231512308346458	7.35371765641091e-05	NA	0.0312950373561746
GRIK1	-0.371664920187881	0.000112480079524913	NA	0.0402525302772562
GRM1	-0.464834019847791	5.04777947250012e-05	NA	0.0240855562345415
GTPBP2	0.236294922771926	2.49004052155222e-05	NA	0.0156171010095402
HIST1H2AH	0.389191203064427	3.35332062784133e-07	NA	0.00105602773211979
KCNH1	-0.362706715828745	1.50520100656859e-05	NA	0.0131671639163495
LOXL1	0.520227777659126	2.96253923457446e-05	NA	0.016233809627189
LOXL2	0.50341779887187	2.90296020821756e-06	NA	0.00457100114385938
LPAR3	-0.615149519501252	4.30921124210393e-05	NA	0.0212040125681776
MAD2L2	0.335980415197286	7.34178747543446e-05	NA	0.0312950373561746
MED25	0.279469363059755	1.92713786262289e-07	NA	0.000763438383134196
METRNL	0.476269706626424	0.000106562732961502	NA	0.0390217858886466
MTERFD2	-0.279625686239528	1.62669675507487e-08	NA	0.000128069835527045
NPIPB6	0.416376183429534	1.19699747891389e-08	NA	0.000128069835527045
NTS	-1.10465868542658	8.32782581072777e-06	NA	0.00831962808698256
ONECUT2	-0.51642776246607	8.98219722333948e-06	NA	0.00831962808698256
PFN2	-0.353139006653799	2.08376114980702e-05	NA	0.0149140468476642
PRDM5	-0.286714184903159	3.02628908563918e-05	NA	0.016233809627189
ROMO1	0.338250734794893	3.09293972320379e-05	NA	0.016233809627189
RPL22L1	0.315237505621637	6.03821631139922e-07	NA	0.00135825362913275
SDC1	0.245340891967603	6.26007485093893e-06	NA	0.00831962808698256
SLC13A4	1.43829335974679	0.00010230716033921	NA	0.0383554415881239
SLC38A10	0.294308973273989	0.000139994340432104	NA	0.045923976759248
TFPI2	0.645607421696234	1.59956353573687e-05	NA	0.013256172333533
TGFBI	1.25485771760529	8.9518277148759e-06	NA	0.00831962808698256
THAP4	0.176580624319369	5.21389811833917e-05	NA	0.0241464822856966
THBS1	1.35818201658453	2.50631851572702e-05	NA	0.0156171010095402
TMEM150A	0.194645068107262	3.25484939827092e-05	NA	0.0165325350403787
TPP1	0.33145975084457	2.57871603104309e-05	NA	0.0156171010095402
TYRP1	0.4522713075962	0.000118901214836376	NA	0.0416048561958571
UPK2	-0.232583865988667	0.000131337333588499	NA	0.0440008011635002
VAV2	0.25585295398408	8.02624338078761e-05	NA	0.033258217966811
