Diagnosis	Sex	Age	PMI	RIN	Batch
MEblack	0.107692307692308	-0.0520265981714472	-0.166181669650674	-0.0660280688259644	-0.0547570446023681	-0.0485071250072666
MEblue	0.230769230769231	-0.0057807331301608	0.0774372316310358	0.06705441186471	0.0325119952326561	0.00538968055636295
MEbrown	0.179487179487179	-0.0057807331301608	-0.102792785350932	0.0393431498185798	-0.104380616273264	-0.00538968055636295
MEcyan	-0.107692307692308	-0.0173421993904824	0.2021591445235	0.0455012080510532	0.0742642417419618	0.0808452083454443
MEdarkgreen	-0.0358974358974359	0.0635880644317688	-0.00376906879620086	-0.0201847464286627	-0.00650239904653121	-0.00538968055636295
MEdarkgrey	0.384615384615385	-0.0520265981714472	0.0041117114140373	0.0721861270584377	0.0585215914187809	0.0700658472327184
MEdarkred	0.220512820512821	0.0404651319111256	-0.116841132682227	-0.00307902911623668	0.000342231528764801	-0.0377277638945407
MEdarkturquoise	-0.271794871794872	-0.0404651319111256	0.118554345771409	0.0328429772398579	0.0246406700710657	-0.0269484027818148
MEgreen	-0.0769230769230769	0.086710996952412	0.208326711644556	0.0201847464286627	0.106776236974618	0.0269484027818148
MEgreenyellow	-0.333333333333333	0.0173421993904824	0.0157615604204763	-0.0167636029661775	0.0472279509695425	0.00538968055636295
MEgrey60	-0.0974358974358974	0.0057807331301608	-0.124379270274628	-0.113924077300757	-0.0294319114737729	-0.00538968055636295
MElightcyan	0.2	-0.0635880644317688	0.0390612584333543	0.0608963536322366	-0.0284052168874785	-0.0808452083454443
MElightgreen	-0.466666666666667	-0.0173421993904824	0.104848641057951	0.0277112620461301	-0.013689261150592	-0.0377277638945407
MElightyellow	-0.00512820512820513	-0.0173421993904824	-0.0757240185418536	-0.103660646913302	-0.0318275321751265	0.0592864861199925
MEmagenta	0.343589743589744	-0.028903665650804	-0.0161042030383127	0.034211434624852	-0.022245049369712	0.0269484027818148
MEmidnightblue	0.0974358974358974	0.086710996952412	-0.0846327266056011	0.0496065802060354	-0.0537303500160737	-0.0592864861199925
MEpink	-0.384615384615385	-0.0173421993904824	-0.0137057047134577	0.0475538941285443	-0.00718686210406082	0.0161690416690889
MEpurple	0.148717948717949	0.0751495306920904	-0.0102792785350932	0.0116318877724497	0.00958248280541442	-0.0377277638945407
MEred	-0.0358974358974359	-0.0173421993904824	-0.173719807243076	-0.0581594388622484	-0.133470296218272	-0.00538968055636295
MEroyalblue	-0.2	-0.0057807331301608	-0.0781225168667087	0.0198426320824142	-0.0349076159340097	-0.0269484027818148
MEsalmon	-0.0153846153846154	-0.0635880644317688	0.0914855789623299	0.00547382953997632	0.0663929165803713	-0.0700658472327184
MEtan	0.158974358974359	0.0635880644317688	-0.0260408389555696	0.0383168067798343	0.00787132516159042	-0.0592864861199925
MEturquoise	-0.128205128205128	-0.0057807331301608	0.0219291275415323	-0.0109476590799526	0.0451745617969537	0.0269484027818148
MEyellow	-0.0358974358974359	-0.0520265981714472	0.133973263574049	-0.0212110894674082	0.134839222333331	-0.0916245694581702
