Diagnosis	Sex	Age	PMI	RIN	Batch
MEblack	0.600525006872384	0.800725448347234	0.417162380961096	0.748611994341291	0.790489782911376	0.813966115007363
MEblue	0.25670309114113	0.977640978331155	0.70691688940288	0.744830913871587	0.874718899947478	0.979153178037823
MEbrown	0.380294564217309	0.977640978331155	0.617292241718186	0.848667642985911	0.611837316626675	0.979153178037823
MEcyan	0.600525006872384	0.932988628009893	0.321982522787029	0.825314397833129	0.718436128343709	0.6946141987495
MEdarkgreen	0.861790601476856	0.757623647081059	0.985420771887856	0.922035318901662	0.97485049855242	0.979153178037823
MEdarkgrey	0.0523695353242791	0.800725448347234	0.984095544980172	0.726013296497705	0.776433178685939	0.733770152162632
MEdarkred	0.279032826042683	0.844402874376613	0.569744968034309	0.988089725060843	0.998676137383748	0.854815149369549
MEdarkturquoise	0.179215107042023	0.844402874376613	0.564060458105317	0.873453512615761	0.904893667936171	0.896031767475403
MEgreen	0.708779297161033	0.67361565968596	0.307122003350579	0.922035318901662	0.603645327041505	0.896031767475403
MEgreenyellow	0.0960999071279003	0.932988628009893	0.939084639950801	0.935219677841341	0.818791072009858	0.979153178037823
MEgrey60	0.635840501493066	0.977640978331155	0.544926960356261	0.579482256125694	0.886508446013102	0.979153178037823
MElightcyan	0.327286881279785	0.757623647081059	0.849739797778073	0.7676007718734	0.890443649094884	0.6946141987495
MElightgreen	0.0162483262082276	0.932988628009893	0.610233257004038	0.893104935866997	0.947081838180273	0.854815149369549
MElightyellow	0.980164342551688	0.932988628009893	0.713128931632012	0.614308267583218	0.877336639428199	0.773585308554024
MEmagenta	0.0856919741807914	0.88853283066815	0.93776288321444	0.868224970059562	0.914104794427906	0.896031767475403
MEmidnightblue	0.635840501493066	0.67361565968596	0.681029291147314	0.809824311171281	0.794334698380644	0.773585308554024
MEpink	0.0523695353242791	0.932988628009893	0.947018360270749	0.817561019499434	0.97220413747446	0.93751278372157
MEpurple	0.468410284768645	0.715216017424036	0.960251798510404	0.955026377483898	0.96294430779331	0.854815149369549
MEred	0.861790601476856	0.932988628009893	0.396038992409508	0.777782536018619	0.515682665696841	0.979153178037823
MEroyalblue	0.327286881279785	0.977640978331155	0.704437152439929	0.923352909332388	0.865567085579919	0.896031767475403
MEsalmon	0.940538900885827	0.757623647081059	0.656696636266013	0.978827767951458	0.747267230336131	0.733770152162632
MEtan	0.437926701828534	0.757623647081059	0.899515504062522	0.852572515152924	0.969558062787764	0.773585308554024
MEturquoise	0.532526491428625	0.977640978331155	0.915320340957541	0.95766948751505	0.826549693431147	0.896031767475403
MEyellow	0.861790601476856	0.800725448347234	0.514087280486737	0.918083762484338	0.511346147775094	0.656206524639553
