logFC	Pval	Warning	FDR
ABCC6	0.321895307378012	5.71802949655975e-07	NA	0.000310260280483332
AC104841.2	-0.158853753524474	2.74454061588436e-06	NA	0.00127644663272473
ADAL	-0.32806087812642	1.93166812367807e-05	NA	0.00616543014063364
AHSG	-0.0386026589935081	0.000254860294479853	NA	0.0384131099402134
AP000350.4	-0.49385446116088	6.8191361264347e-05	NA	0.0150517321799366
ASGR2	0.104027490452424	0.000228307032340336	NA	0.0360813774022911
BCHE	0.640775579067099	0.000136229745791416	NA	0.0249162674381199
C16orf86	0.280655987027891	0	NA	0
C1orf94	-0.274611611481923	5.79311423565265e-06	NA	0.00219303054716172
C1QTNF6	-0.304237214082611	0.000326351458370899	NA	0.0461943394727087
C7orf13	-0.37676631182213	8.5986517439629e-07	NA	0.000451512429316865
CCDC7	0.159264494637487	7.93769916973552e-06	NA	0.00280891015402076
CDC25C	-0.170789038582752	5.94042592894084e-11	NA	1.38140361816141e-07
CDC42BPG	0.154303859811703	1.40214426735952e-07	NA	0.000103745929018537
CDKN2A	-0.31124898058834	6.22891987216434e-05	NA	0.0149109349528075
CKMT2	0.330078265695006	2.77529657288778e-05	NA	0.00821386865699404
CLSTN2	0.41111325717687	3.15326915667491e-06	NA	0.00138726798195552
CTC-479C5.12	0.142746496209486	7.1326428263685e-06	NA	0.00258011466505836
CTD-2600O9.1	-0.0522449854476641	0	NA	0
DAZL	-0.0717312052569637	9.38366535880863e-05	NA	0.0196803303765166
DGAT2	-0.401051910466809	7.71340546990018e-09	NA	8.37058761593568e-06
DPF3	0.508201665368936	0.000333745589984114	NA	0.0468337130496672
DROSHA	-0.0592791487348877	0.000207631359339988	NA	0.0334635967063003
EEF1E1-BLOC1S5	0.176975727862862	3.3148856515286e-06	NA	0.00138759934630302
EIF3J	-0.0874629500665241	0.000163009739662545	NA	0.0283852760183067
FBLIM1	-0.343387075257281	6.78775694284983e-05	NA	0.0150517321799366
FBXO24	0.136292129177185	0.000159426186876477	NA	0.0282080377171227
FBXW11	0.0688853130455781	0.00010332872900376	NA	0.0205120128136976
FRY	-0.379245013777158	0.000233414954925903	NA	0.0361305419126064
FRZB	-0.390441343394565	0	NA	0
GCDH	0.388961122298338	1.54930689615362e-05	NA	0.00504392353111774
GCSAML	-0.115440422932775	4.50115948025243e-06	NA	0.00178707009803778
GLT6D1	-0.0532001768403431	1.5685654775055e-07	NA	0.000106387953511811
GNL3	-0.202799905965565	0.000125009612384153	NA	0.0232687636992028
GOLGA8K	0.1601000195204	3.48571903727724e-05	NA	0.00978285077393083
GPR39	-0.562023373175645	0.000212171459088362	NA	0.0338600687356897
GSTT2B	0.229703301243693	9.43030943216794e-05	NA	0.0196803303765166
HCG27	-0.219635164116365	0.000117458328853903	NA	0.0222324032219051
HELQ	0.250270371384269	6.42024454093892e-05	NA	0.0149298200910577
HSD17B8	0.328586724601739	2.07991297629384e-06	NA	0.0010259643463064
IGJ	-0.229419679912245	8.33366708974381e-11	NA	1.69569291108562e-07
IGSF9	0.191097061519757	3.69181063497592e-09	NA	4.62271488585678e-06
IK	-0.156622145285074	0.000266623891377327	NA	0.0398174651728452
ING2	-0.258117750084061	0.000186622163422356	NA	0.0309983222060114
INTS8	0.0936130177334514	8.54702042474287e-09	NA	8.69552490462278e-06
KMO	-0.498871196981152	3.92174139829393e-07	NA	0.000220131401660099
LIN54	-0.156447615036879	2.27714924410094e-05	NA	0.0069938557349953
MATN1	-0.118237550008725	5.1421422420761e-05	NA	0.0126823926388659
METTL12	0.552530668238933	1.48058493243397e-07	NA	0.000104786789261566
MIB1	0.122594459301697	2.90247055323434e-06	NA	0.00131240043515413
MYO15A	-0.305761659890639	3.92792244658935e-05	NA	0.0103126970299325
MYT1L	-0.282355546374707	9.72569792416778e-05	NA	0.0197509322539261
NCL	-0.163342314584501	1.71822638850294e-06	NA	0.00087404028600159
NPAS2	-0.355408240295727	4.9581538208443e-06	NA	0.00192163875942151
