logFC	Pval	Warning	FDR
A1BG	-0.161530821676608	0.209816785493372	NA	0.999873539889374
A2M	0.0794155526135432	0.845758207383848	NA	0.999873539889374
A2ML1	0.142979981620045	0.641276582222623	NA	0.999873539889374
A3GALT2	0.055844341901256	0.620244735943627	NA	0.999873539889374
A4GALT	0.0918561218477323	0.723589037618315	NA	0.999873539889374
AAAS	-0.0614263773315888	0.581839663903938	NA	0.999873539889374
AACS	0.0490659383446604	0.832281111780517	NA	0.999873539889374
AADAT	-0.00404196122508553	0.982856588462581	NA	0.999873539889374
AAED1	-0.0345041250021522	0.808590345887827	NA	0.999873539889374
AAGAB	0.0282112803352065	0.796059684521136	NA	0.999873539889374
AAK1	-0.0763574332090858	0.615511966436077	NA	0.999873539889374
AAMDC	0.230619161698879	0.391521189958898	NA	0.999873539889374
AAMP	-0.0708935543609472	0.460192752459408	NA	0.999873539889374
AANAT	0.0219210032132267	0.808171709204051	NA	0.999873539889374
AAR2	0.132386872110747	0.196774776851381	NA	0.999873539889374
AARD	-0.171225395075783	0.554176507786129	NA	0.999873539889374
AARS	-0.0416601020461274	0.727964826046945	NA	0.999873539889374
AARS2	-0.0387210083377881	0.654489277275915	NA	0.999873539889374
AASDH	0.162178889473754	0.00772589139054491	NA	0.375759469656128
AASDHPPT	0.0437974193608008	0.752711896883032	NA	0.999873539889374
AASS	0.247513584026258	0.41619878849362	NA	0.999873539889374
AATF	0.00579125167147079	0.931825714314011	NA	0.999873539889374
AATK	-0.0798922842243706	0.523970864387216	NA	0.999873539889374
ABAT	0.125588731845864	0.10307518384384	NA	0.999873539889374
ABCA1	0.374384551509381	0.366294759761384	NA	0.999873539889374
ABCA10	-0.0775959699275324	0.565716715687112	NA	0.999873539889374
ABCA12	0.107583774038455	0.559456802433177	NA	0.999873539889374
ABCA13	0.282519037574626	0.496002829731676	NA	0.999873539889374
ABCA2	0.10610598980981	0.523964187250413	NA	0.999873539889374
ABCA3	-0.015348360463728	0.889890079873903	NA	0.999873539889374
ABCA4	-0.411776109681837	0.233464320892301	NA	0.999873539889374
ABCA5	-0.111998496737072	0.443143583587038	NA	0.999873539889374
ABCA6	-0.109451852349072	0.385759822163238	NA	0.999873539889374
ABCA7	0.0178091629747706	0.950346450046064	NA	0.999873539889374
ABCA8	0.168742940573278	0.784329800141667	NA	0.999873539889374
ABCA9	-0.158788441010507	0.128354203594021	NA	0.999873539889374
ABCB1	0.110288489718196	0.613132320955173	NA	0.999873539889374
ABCB10	0.0499027999312013	0.516625556626817	NA	0.999873539889374
ABCB11	-0.105700561103514	0.453484579068313	NA	0.999873539889374
ABCB4	0.0316407384661021	0.727860552825123	NA	0.999873539889374
ABCB7	0.114931466447286	0.538955018275483	NA	0.999873539889374
ABCB8	-0.0600548757789918	0.605464041793669	NA	0.999873539889374
ABCB9	-0.115432438894754	0.43033678420875	NA	0.999873539889374
ABCC1	-0.048989836460579	0.661071527142037	NA	0.999873539889374
ABCC10	0.0577326992979258	0.583081678214787	NA	0.999873539889374
