SZ_812	SZ_841	SZ_837	SZ_810	SZ_840	SZ_814	SZ_847	SZ_849	SZ_851	SZ_860	SZ_838	SZ_839	SZ_858
A1BG	1.358894307085	1.86545851763476	1.27264892888918	1.38243705144904	1.32612357906543	1.51751786704039	1.49607744243819	1.22125788507815	1.73957007376963	1.71872211342795	1.3391597494785	1.57886663699297	1.92598416526402
A2M	7.11793876068973	7.44444396230074	6.89065878379173	6.2317550733633	6.17015968895255	7.00484742084943	5.79496930370197	6.72839285234565	7.25034788578876	6.93733064705356	7.78647916206808	5.928040732538	7.08942996352977
A2ML1	2.95385587302012	2.71167198714733	2.88418786726415	2.24466918111652	2.560982326442	2.62681135043729	2.89346042947954	2.96038289176816	2.70731689462424	2.15983671922385	1.55840004320871	2.16796903430281	2.86526547981939
A3GALT2	0.406261925437063	0.386690205220487	0.161894678432928	0.956426436186469	0.755812129531162	0.565415690993287	0.700437298680218	0.33246572269723	0.361310951524625	0.034010647422165	0.355968992662497	0.368433431018548	0.221716701660061
A4GALT	1.31651043594063	1.05168761780541	1.61452937001367	0.956426436186469	0.504447998175997	0.829732540222355	1.0420647716346	0.894693596395988	1.06354744215353	0.764085280478255	1.79103372128434	0.944155947731774	0.442934858135536
AAAS	3.1604837741026	2.52276095362878	3.12549753132934	3.12219148742595	3.14715425631364	2.81984270367426	3.04169379573066	3.07284523279467	3.25208056837967	3.15331263806072	3.38683350117953	3.02899221206378	3.17657715308217
AACS	5.77074877585884	4.53780858805179	5.16022727963931	5.91680716590928	5.76834076062462	6.43537167152545	6.18424391018845	5.550814347925	5.63417120392527	6.01845509627035	5.13791164065973	6.32342857083161	5.66702589799063
AADAT	3.13105028767115	3.5385701874252	3.2312605669979	2.69017421276235	3.07523338169057	3.03008696687065	3.36759502524428	3.0284845713184	3.03038410408509	3.34914495049922	2.5853012400783	3.07358908930765	3.51186319407665
AAED1	2.52027943073215	3.06340681838797	2.54303827990905	2.35543569613245	2.55353367187906	2.21891358779032	2.09946351102031	2.58331217660317	2.24689898329707	2.53239260337405	2.96038289176816	2.54085302040945	2.41937104301659
AAGAB	5.52490791397251	5.92775644264637	5.5895337527191	5.27069834256194	5.55720032902781	5.50475079778045	5.30718093561967	5.62140240945318	5.43608323008988	5.7035204643662	5.78629698111666	5.30950452891521	5.41845227062652
AAK1	8.07354010631688	8.64811982401419	8.31036376778806	8.65282850533456	8.51883097469624	8.05676448177888	8.57464514894111	8.24709729970391	8.00598985353897	7.83309969818413	8.2692319490503	8.65078295771368	7.89030579185833
AAMDC	3.14497350037148	4.20803485484382	3.85117703200072	3.58367444656111	3.27118778379153	3.36255343906368	3.55830443775826	3.26113413910467	3.24152513632387	2.92630278419192	2.6848983945242	3.12073687148881	3.27989932431754
AAMP	5.19257464416729	5.42469422936702	5.29028104972778	4.86109024358456	5.1538284533398	4.75947268104354	4.94581708279811	4.9104235339842	5.5072198533371	5.75091897057439	5.28773642862204	4.92367082717051	5.69979922406986
AANAT	0.196731881436572	0.386690205220487	0.215657950333956	0.310524724739521	0.210438032041286	0.545790342003802	0.268921769560676	0.272157911641997	0.379456494640544	0.335294292346089	0.290823040522129	0.193060603984791	0.160213755277603
AAR2	3.60695229389001	2.86198224912246	3.75051702373885	3.79929311331065	3.6904641883586	3.54415799256624	3.63232177439288	3.40028496248148	3.59904559217147	3.67013212254487	3.42713770123349	3.74644924825146	3.80186429654161
AARD	0.164620412065349	0.386690205220487	0.728465137972873	0.426702024368203	0.540691618200554	0.545790342003802	0.433696989764218	0.058097872720899	1.13222619388624	2.17591906771664	0.404211562301984	1.25858241971555	1.84765524826078
AARS	6.99789534576346	7.47343403817338	7.26571870816636	6.96288223859735	7.09763688330012	6.64868698533509	6.81487972637779	6.97193262963578	7.01560507433448	7.20073979114572	7.35828978335427	7.05476228630545	7.19642999769754
AARS2	4.12052394526655	3.76736237495868	3.87441272395456	4.01104404036487	4.19693052237436	4.09479893183017	4.18048569885326	4.04435701512052	4.06793945020766	4.09273895303187	3.89654303570158	4.27821143797403	3.81896850566111
AASDH	4.8101186016418	4.20803485484382	4.88337974310676	4.7237187530081	4.77700661107418	4.86334976015752	4.59634471190102	4.7529345025785	4.9216625120586	5.01087599200138	4.47988535924015	4.60037217965727	4.93448614228176
AASDHPPT	6.65221017174617	6.90305312964847	6.52493462099986	6.34127887101714	6.53618253690819	6.22728606220262	5.91758224275714	6.41761591534099	6.4865927227724	6.76916011653939	6.66221871055952	6.43349728405116	6.97702157949925
AASS	4.83756442256406	4.80806278576587	5.90216145140124	4.71934843401054	4.9104235339842	4.83692884148849	5.19168713071583	4.7890522477166	5.37771887014036	5.03231298256263	4.70077589021056	4.24207712411641	5.38326933626832
AATF	4.87859967363032	4.30747345111504	4.81531064737734	4.87171880700961	4.76969396492135	4.89529913581154	4.94581708279811	4.81744774542488	4.91757220187678	4.54317432498072	4.79721373694153	4.73216460027223	4.8888649750935
AATK	6.25509737163367	5.86480985484345	6.62155360441192	6.57240491715213	6.65237173641413	6.46941065650792	6.64167170832057	6.53665872917722	6.73323178261824	6.73574364290257	6.24909826828642	6.79620710441509	6.63095876665211
ABAT	7.36249766196277	7.53448198410375	7.36375333275783	7.43811764557808	7.26430278402464	7.3509897647603	7.07344254325971	7.06677181599102	7.76917598944963	8.42938586572648	6.8831553523437	7.24962272969713	7.90920351504097
ABCA1	6.6525333010821	5.81474133754564	6.82706099151325	6.10441336460943	5.84149015041904	6.71753007360354	6.31711738362935	5.52860445956621	7.32546181315022	6.19490227151614	6.54495547246603	5.06781368377432	6.60892738195946
ABCA10	5.37355153896371	4.92987861991539	5.35249723589113	5.21576863780948	5.57903066698424	5.40199128292591	5.29853515394725	5.46840340557467	5.43565942768612	5.40572312527253	5.68097453258231	5.62488324026198	5.11396075749064
ABCA12	0.363128614157991	1.05168761780541	0.452020789546288	0.480763282791474	0.289482348917625	0.439508905036844	0.683112064091029	0.543322310193727	0.596248212693753	2.98208885077946	0.130624501735515	0.0893161672685204	0.518123818388899
ABCA13	3.96968619361755	3.85394440643315	3.82201172784306	2.81113324761021	4.26708328123248	4.51103595228117	2.88516525338139	4.41122588498351	3.26287892713837	1.57980172431997	4.61652297572995	2.73545235032949	3.14464436137485
ABCA2	8.28782213166961	7.99086013878903	8.84265041962912	8.37929542289853	8.48351518904449	8.18038379410475	8.46332530602578	8.35786450867845	8.42424063473881	7.94500596288011	8.18985256879085	8.25246429986207	8.42938586572648
ABCA3	7.06444912213706	7.3469877289577	7.03893121268989	7.16339232336295	7.46815597299428	7.06646262071937	7.05585677060557	7.28492345259656	6.90537931823528	7.1035089378313	7.07070352900513	7.35335454640244	6.93979748413904
