SZ_812	SZ_841	SZ_837	SZ_810	SZ_840	SZ_814	SZ_847	SZ_849	SZ_851	SZ_860	SZ_838	SZ_839	SZ_858
A1BG	1.35128901863924	1.5678861242562	1.31159290164819	1.40177828077123	1.4915204456238	1.63711595755304	1.63683677655376	1.4494796071565	1.5141752472193	1.40951069845675	1.48952950072999	1.69253848789362	1.78946527111158
A2M	7.10751901799527	6.76633527561359	6.40649640311902	6.78779126116022	6.47859259643767	7.41412071176588	6.52032899184652	6.8887758563285	7.05409188022651	6.87266543029295	7.46016171653754	6.21284047198675	6.40507462366287
A2ML1	2.54923896051185	2.55515874715605	3.05482819628345	2.52390212379588	2.23326909840282	2.76098742054517	2.57902000260613	2.83413828552127	2.60546489586011	2.37119202957217	1.83760434841407	2.7279497856029	2.66205618358223
A3GALT2	0.371965323742896	0.431861378505401	0.402624719538577	0.644935923130196	0.446364094605388	0.411315673873046	0.490060561936335	0.292024612071261	0.303893694866775	0.399015682385897	0.545827114570715	0.290557428919303	0.576398603320949
A4GALT	1.05314428987993	0.967601286524014	1.27817210932555	1.1030984384716	0.927632549669641	0.96948372676455	1.0290659657865	1.1126873127486	1.26582753387767	1.13719407089895	1.31998300050738	0.554512005620753	0.497447726083429
AAAS	3.09606289823227	3.06130911334196	3.01219033240127	3.18323874747475	3.14357248748001	2.83648631425132	3.07576625175633	3.1079892595476	3.09620026025745	3.15330948849495	3.27722841263877	2.99336138269044	2.97355085919863
AACS	5.77729752060673	5.73911687198938	5.52421638164988	5.45228999709711	5.70744356549124	6.108677213213	5.58482135572705	5.59965548029136	5.56191964670513	5.60862626572301	5.42086488794668	6.02042241688327	6.0000033060765
AADAT	2.97195911115092	3.16092770896266	3.29686590446975	2.94914977461813	3.18940460490603	3.18110051883798	3.24620651327736	3.0484231229626	3.07107301368715	3.0377920272993	2.75333506198332	3.41466705075989	3.32183336511231
AAED1	2.65201462665927	2.4915483937113	2.33422019764062	2.52289622617362	2.68364917255833	2.3040900340049	2.38811737524168	2.50364037955383	2.47444831085514	2.6481894616491	2.72788181501868	2.52266635502711	2.38391936622617
AAGAB	5.6206067211453	5.52244292290935	5.4980600612271	5.45026945696025	5.60956583999254	5.57138541310488	5.46247844799816	5.5068583620795	5.60246559438514	5.63444699622746	5.71676304394066	5.44110150537527	5.32084403354988
AAK1	8.10571448492544	8.29538852047684	8.40412200473948	8.38274258569577	8.4375957080369	7.93086725243219	8.4600355389637	8.21614282177523	8.22038932713927	8.28895356984982	8.23519615244198	8.37580929680502	8.37864309563762
AAMDC	3.10716437543345	3.34474333125827	3.98780967904343	3.52884382228777	3.18704640154427	3.41963118664494	3.58526201892557	3.29281593686892	3.27749532641581	3.16962822968829	2.8528505470731	3.25049240191772	3.49061888724005
AAMP	5.14736550883846	5.21418412514349	5.15463618506738	5.17654052162462	5.38349911643743	5.01942337414144	5.2632643402764	5.11682385409745	5.19810238423023	5.27758392418366	5.34067745692206	5.24748125588847	5.16794517493508
AANAT	0.279910928274808	0.295305695753737	0.277410287442416	0.226310194236711	0.196519251428957	0.510199081693289	0.293805146067483	0.276881016833008	0.37196693050971	0.266125658003855	0.3600911142111	0.179373585940885	0.231862113353494
AAR2	3.58377209592887	3.57086166358456	3.73679101545248	3.70962504212871	3.6770516501721	3.48510239583179	3.58319760016443	3.47749970813236	3.3956135802515	3.57019272519194	3.40756865872975	3.62770342758601	3.70562299544957
AARD	0.52816832199719	0.851779166634172	0.620692290829159	0.490310371150877	1.11693085104908	0.683305701952915	0.951594610029616	0.490017109452114	0.591309039483911	0.722343285225387	0.541769430906014	1.31948041332958	1.19564850215755
AARS	7.05812694621954	7.07285273243791	7.07438570631272	7.14179387451925	7.26663823835212	6.78443782087552	7.11338035707796	7.02124841251967	7.03628868633585	7.17001917297305	7.20211228887361	7.09500014075295	7.02260911093663
AARS2	4.08561773401005	4.03796861593854	3.99674235552284	3.86308265387835	4.13729183565362	4.00026491030372	3.97894825819738	4.05094327710398	4.05896979461327	4.09003648801471	3.98543190456208	4.19326689539665	3.96575191210404
AASDH	4.84951748961587	4.71668101638446	4.90013047876232	4.7459445864932	4.70200313600506	4.85128109419526	4.64045604558833	4.75575620825236	4.68779664190925	4.73835510692976	4.56808341810908	4.7177379767344	4.68842652457152
AASDHPPT	6.72801266060639	6.51171499495791	6.3234358511654	6.59796027531209	6.67136139167638	6.42354976491345	6.34072633613776	6.49126445012315	6.34346979183978	6.60294207545285	6.57409452603219	6.63430468466852	6.60579716115641
AASS	4.63619125700461	4.97245676182716	5.7740423980071	5.09092371887131	4.88382259439065	5.05617984573707	5.32936345446325	4.8346731082883	5.07627294099379	4.8841898628143	4.72468340987751	4.64520420210105	4.82337949656899
AATF	4.7404931450456	4.78559368790653	4.80680890088091	4.85664278184918	4.65336080663813	4.86830237603618	4.82322478564471	4.81649915488294	4.80383901215198	4.71661848691549	4.7661603273647	4.70132874003315	4.84147814190344
AATK	6.38043528786575	6.53582144551438	6.67032819645468	6.42280024267425	6.582801043702	6.35392878194345	6.64356283815882	6.54397713778302	6.54714186314747	6.49388982078433	6.30839210042767	6.71338502840793	6.5627543564717
ABAT	7.53580339097934	7.43120988849648	7.49812009402868	7.44736233771527	7.50834302694338	7.48035284538299	7.34719464006941	7.382607202576	7.29461201195026	7.44342600790653	7.26580365837466	7.53914302648371	7.5209228537893
ABCA1	6.11644585720061	6.25907992000905	6.69284114180355	6.38817781290577	5.9190159800706	7.07400211700522	6.4426784577522	6.02040069933059	6.50713927416181	6.18761683233713	6.62566679083701	5.38386865708692	5.92861814433426
ABCA10	5.4484308977382	5.37312467797417	5.27116827159411	5.15381936630317	5.53054190493496	5.30708179604858	5.30479618397349	5.3848061459546	5.48321932023115	5.50607544074271	5.52789284169202	5.44869427375571	5.14120650436251
ABCA12	0.795831293687646	0.622776965014362	0.846661211906949	0.596546389673834	0.883902295739277	0.466148547495358	0.570490391314884	0.638278973003613	0.719770393480668	0.866320777380702	0.796602439775274	0.562306979571415	0.253790825362547
ABCA13	3.87658918916342	3.50563577756106	3.35481523802353	3.27953009387869	3.2604498479617	4.50764432127288	3.20329494549286	3.47870024325826	3.75900131735087	3.59544139793051	3.94689405020523	3.013848015155	3.08874184902112
ABCA2	8.17237649730122	8.31606087434707	8.74896762936651	8.43841165600752	8.31083255862649	8.19457951072458	8.48694714592973	8.30729209238891	8.30971815274377	8.27682557837436	8.07974774920318	8.27029493402663	8.31461186379812
ABCA3	7.21872938976062	7.13941845770937	7.1018884673795	7.06659646943316	7.33028950822811	6.96908128812309	7.07152208014768	7.12199466119101	7.06895223806931	7.22382327451929	7.09160739414432	7.32996886099093	7.12803092998018
ABCA4	0.172313516935358	0.954867302074452	0.565518642866338	0.907949028058975	1.11160406502363	0.544783089973935	1.44852097138359	0.410793533097495	0.846663152359482	0.757075973530154	1.32051663229209	0.859751189383053	1.26101732805953
ABCA5	7.16410939569815	6.95587234602895	6.72693816232823	6.84212158838457	7.0515564333962	6.82095703028171	6.78242477452794	7.11716010098976	6.99801756687637	7.07250287463803	7.02912374252703	7.15347127406635	6.86283961402858
ABCA6	4.40020835753289	4.46846844467698	4.16997308757962	4.35442893215593	4.56576591130048	4.47563853509619	4.46742824457693	4.3058206298876	4.44987376535733	4.48591422767291	4.71792244744296	4.45306902620673	4.47527692658959
ABCA7	2.98217429334641	3.17466462992465	3.64703839204723	2.93909079759637	3.3649479595868	2.8982368458443	3.32689699628025	3.1473761133777	3.15130824263006	3.15892867820027	2.6200728673454	3.53532885573501	3.15012431280788
ABCA8	4.9304998683477	5.68340479248049	6.83840916357795	6.51858315628529	5.4961569101232	5.0711585430391	6.47194872537097	5.56792503524288	5.58921489104319	5.4093384656974	5.27462460523225	5.21855752706547	5.96887632335714
ABCA9	4.29223095966866	4.3287651127946	4.08403976131812	4.05696234525306	4.38572904000708	4.34113680888309	4.29587830384711	4.30309367563161	4.4153621838494	4.35259567636777	4.4379386436031	4.438886705749	4.24050308037234
ABCB1	5.05661633111488	5.29396369279472	5.64062086193143	5.26300665962047	5.03884422587679	5.63271315038162	5.49253044608141	5.23393687799612	5.44655753677446	5.14854798524724	5.18593875076071	5.00696997525581	5.2132322094587
ABCB10	4.43282743853852	4.3229132005359	4.40793675381634	4.43317856611806	4.26935045936019	4.32504882410172	4.28569313370979	4.44506995166078	4.38477666045412	4.37093228135181	4.37706074288345	4.22849047886897	4.22960119066524
ABCB11	0.422743434502705	0.489202102481569	0.299721986930033	0.60796272004554	0.300772427890295	0.474669130487545	0.500379919030061	0.566539347203616	0.39745062885124	0.332070466168685	0.36295027857022	0.572481942492728	0.793132591407884
ABCB4	1.35773952391941	1.26303509857356	1.28601952311856	1.45474505537282	1.25926687361361	1.17373116052479	1.24213252862406	1.33920450173692	1.27303769266746	1.32381045303236	1.40345729644177	1.14576816979913	1.21731644408268
ABCB7	4.62080932056628	4.63489160059154	4.92625059035877	4.75701312730027	4.58750102727609	4.70387573179201	4.73465556929334	4.65255542631442	4.81570365244573	4.71334002938077	4.85826679122405	4.27682449688848	4.34319076185662
ABCB8	4.63687293146368	4.60851262008225	4.35712419283043	4.41147632925348	4.642119177291	4.73092565452045	4.5133487835061	4.54000043739446	4.56208137108053	4.58812963756039	4.60005347165751	4.75360793019564	4.6769295817229
ABCB9	4.90256627967114	4.87681118605209	4.60141501694091	4.58048097401459	4.9553529895444	4.92680097262076	4.76769450232216	4.8381256247142	4.84141330824507	4.86753368901315	4.79609892645192	5.14912089361458	4.93389749832507
ABCC1	4.86779182581241	4.93150635487052	5.04935504194422	4.89745408479773	5.05864067948231	4.67641773884507	4.99448706315082	4.94282526143367	4.91994132370855	4.96553369563664	4.81435240489742	5.07629370952204	4.91180353917819
ABCC10	4.087706227407	3.91207347117621	3.86046130043032	3.89872776659757	3.83440308068446	4.05842658800032	3.7634224923309	4.02353348168415	3.8755951406667	3.90023923459892	3.7773010054942	4.00946158471437	3.9725247868427
ABCC11	0.996642130232694	1.09921698095095	0.921432536942213	0.85488933320041	1.16254766341107	1.20015219318273	1.10281425190251	0.943049173782651	1.08032871078106	1.06293350762805	1.10586188219337	1.19948470817104	1.13156483432793
ABCC12	1.53451598429168	1.67187940334373	0.922401288672935	1.0584552833	1.82801761497826	2.08106131287736	1.45058389426067	1.1571692439288	1.10105037264651	1.361134731021	1.0653173521923	2.46896106996262	2.47969600340712
ABCC2	0.697329356179648	0.792525714255695	1.16040885557889	1.04973930283141	0.717986992582067	0.560283948324859	0.971442691885016	0.930588849994322	0.912108144128516	0.809130989220069	0.80109816259308	0.593538589635997	0.669442039511984
ABCC3	0.339202616853021	0.353153369551304	0.962722051311688	0.684313179350542	0.382112850129807	0.19690359830636	0.518568249456675	0.397675854845335	0.432291810315524	0.449177004381069	0.370263880758432	0.0362257583074506	0.124728131830461
ABCC4	5.36537238551529	5.3228503700859	5.66883643703629	5.4883445413308	4.59310432016214	5.78685539406089	5.39838842869011	5.88003249457781	5.86807525874458	5.20254969426493	5.39054644250747	4.7769878482027	4.96670485008339
ABCC5	6.67716041598159	6.72970243340118	6.71905562952054	6.68117462997496	6.82162277450212	6.62206277993846	6.75611696170846	6.67247839072945	6.68416897450063	6.7349522055842	6.68418825079814	6.82574784388954	6.7644812241994
ABCC6	0.893434601358892	0.581088486822567	0.791745208662307	0.702089761647328	0.645127360863323	0.824876348346797	0.395083312288791	0.567713404879757	0.485140266187286	0.690528782388878	0.534849700090559	0.489047191101237	0.500903310733362
ABCC8	5.48842105243759	5.51416589109255	5.17506432655585	5.25830142306932	5.66136852263534	5.53121696346311	5.48010422740466	5.38405323991054	5.61429768210336	5.60961409137842	5.88596579135341	5.4906902303122	5.33173163233446
ABCC9	4.41118390657126	4.48777369668259	4.75728630896147	4.59281693067188	4.31527985722041	4.78633597375887	4.61008045462443	4.440116782818	4.66867770360803	4.47907156521164	4.70250533049777	4.029361815156	4.25867459169018
ABCD1	1.90802190939507	1.77784011775627	1.62019038643868	1.7407267351973	1.88099657040604	1.73727987223934	1.67052700371306	1.78572999197487	1.76200001707282	1.86530676750741	1.90522610284259	1.83166122324439	1.72551243595788
ABCD2	5.49454674606717	5.10589643055283	4.80061152191466	5.22614096023123	5.25347511161732	5.29526797533835	4.82262951914781	5.03228269364587	5.01429096542812	5.29970912206275	5.54817243147516	4.93740907472331	5.00288246278926
ABCD3	6.18219068661398	6.19438709871685	6.29071386453736	6.38072024474867	6.13993422335516	6.1521175778618	6.24455374869391	6.21926268500165	6.1838864873026	6.18268487057349	6.23280229525906	6.06807928802205	6.22023691008731
ABCD4	4.37673329388268	4.36521956525806	4.7109173641356	4.67085177983497	4.29522157564955	4.29034881502602	4.48235398891523	4.46179464224759	4.51010610282033	4.4449573194785	4.57323951118544	3.98911694474858	4.13446877172668
ABCE1	6.00298729548345	5.85915898640986	5.93149918445945	6.112447216475	5.9934537305898	5.62934925356651	5.81203893535011	5.890068427205	5.74743848107541	5.96181542374143	5.91936670828765	5.84768217556601	5.88083012317845
ABCF1	4.51025071979433	4.74618497250847	4.58027065853751	4.71060308737648	4.82568873850296	4.55867480586478	4.89304439094268	4.59356323701785	4.73068632369697	4.70926289573869	4.90307715786238	4.74051326416686	4.81259344205383
ABCF2	5.11056795527992	5.05647985549614	4.92430000877457	5.01912796796347	5.23943430862831	4.88812814065759	5.01000100181245	5.00723032540354	5.01873444998469	5.15436225253101	5.19134040211343	5.13695383077794	5.01055102179381
ABCG1	4.18481129903027	4.60464761483319	5.12622054774873	4.62947310108633	4.44818654208926	4.61137212952525	4.9490002902113	4.50798296689965	4.64035935379058	4.40049315582846	4.21802877207361	4.51754695581099	4.69520048872967
ABCG2	5.15877781467108	4.85184654414568	4.76594116859325	4.74475797784048	4.5461024552493	5.64146827535767	4.53339716169658	4.88909531316021	4.69949666782937	4.69026094492226	4.46084448377004	4.93537509851162	5.10672934981027
ABCG4	3.40477063032784	3.34303131184166	3.2293502897882	3.19968314120488	3.39292149952221	3.20656389682922	3.23629414977274	3.44156202930388	3.21560587821608	3.29544103187998	2.9746173744337	3.77233206812172	3.5522430971743
ABCG5	0.323167965313388	0.350075880960874	0.291411390462856	0.206658444122065	0.476864511915403	0.194221842006263	0.335800634473749	0.331511857596005	0.296561763677011	0.360977547308733	0.213223152828391	0.591918340565845	0.4001327520108
ABCG8	1.18606323728283	1.02900803824809	1.05161394769962	1.23713334371497	1.14979023152857	0.791628106780719	0.953589279191968	1.09548828742702	0.904464764480754	1.11259233078913	1.01516944352046	1.10884187998955	1.0954795131455
ABHD1	0.699873762739642	0.554113197231705	0.508243045354766	0.476333690321751	0.503149014689338	0.691243139454048	0.433095525997503	0.654156734152154	0.595275416112811	0.57723556071272	0.51531793044913	0.602598914643679	0.500054840672438
ABHD10	5.26207067922976	5.15446029338455	4.87806622573133	5.23781591734405	5.22403027306201	5.12540758813538	5.06178897612299	5.11016389669423	5.09021739535031	5.21597820084869	5.41855122684424	5.10613202096716	5.18803708414696
ABHD11	2.12320013181568	2.0668268309217	1.97504246235957	1.99706035873578	2.31775792833762	1.94129346177558	1.99237013030575	1.91591245825914	1.88542351894883	2.12990278363178	2.00784200584657	2.2778134279394	2.15994190430946
ABHD12	6.54229663523216	6.6202503288354	6.67983227907608	6.70044951174987	6.71487314976504	6.47715500863054	6.68573129430855	6.52162285737025	6.51010067608273	6.6082891903969	6.56309983766917	6.66083924759489	6.7246657695849
ABHD12B	0.834282981455155	1.07053651571545	0.787643482332499	0.744429130266696	1.00047664020049	1.11403172116804	1.13922227270094	1.01114373821002	1.11809718953348	0.931053487020183	0.981803664156853	1.27045030211302	1.18767654457053
ABHD13	5.01244502841214	4.88550991729043	4.8635703512224	5.11613722312393	4.81607713487006	4.75529522549828	4.82116087070486	5.05107119858221	4.81503619293769	4.87976631840255	4.82531293751979	4.92687173575683	5.01458107011102
ABHD14A	0.377501458735164	0.504253162687041	0.442402043763703	0.497605677585172	0.343388290212322	0.547921322414256	0.562275522061829	0.536958034402644	0.482584360153184	0.359314834917674	0.343042233503023	0.569123559599984	0.691093455061487
ABHD14B	0.857039648999267	0.962695883316621	0.544275887614609	0.572472973933745	0.903709992437094	1.1281425392187	0.932261937466111	0.928041614127599	1.10151411516059	0.910097773654817	1.10863706985269	1.06361247386301	0.912820459410478
ABHD15	1.99389343713702	1.72690494572726	2.28324919868931	1.79876335377567	1.82562418874017	1.72650718306482	1.61815423738708	1.87411716468947	1.69680923272142	1.84979365311422	1.34806786311837	1.82428135957396	1.56929553668377
ABHD17A	5.84443920113666	5.78608813712097	5.59929140135304	5.58800980026423	5.93392087184942	5.75783281335201	5.68401895170489	5.72522650741041	5.71142360405608	5.82212742927613	5.73130149133562	6.02060009052662	5.82542029045149
ABHD17B	5.37568260365758	5.62261686761668	6.06379620220655	5.86928944067282	5.55120992552443	5.42478347807468	5.86576038276454	5.60032734326469	5.52170326576971	5.48451780370873	5.2639112716033	5.60968113849052	5.82431297748057
ABHD17C	4.6906416758768	4.66942443328278	4.39925429051014	4.68408167664678	4.35161629334023	4.80382059095824	4.61173143841965	4.89995838579867	4.75545691516779	4.5358693992474	4.65102350311335	4.68585232130122	4.80572511584692
ABHD2	7.98426207133446	7.97788034004549	7.79770433453886	7.89686630327008	8.00330664273964	8.02098405577456	7.93676887736099	7.92889012710399	7.96369447205158	7.97908987577472	8.06152083877846	8.01136403094003	7.99961694816458
ABHD3	3.6151194197095	3.94817701988538	4.48683655766849	4.52669424753871	3.80930736446533	3.45390020674564	4.32396099562052	4.026255475824	3.83473635057458	3.78342201692869	3.64614020817825	3.8182387498252	4.23866027296911
ABHD4	3.15108068466057	3.0369106751274	3.46384702147664	3.16484392859185	2.97829949670783	3.17768995586043	3.04596526443357	3.1234495098641	3.14966861004888	3.11151186825697	3.01319037814321	2.79950232262561	2.79785232249629
ABHD5	4.5557182641018	4.63318803507285	4.54266201197901	4.69109948834149	4.57547866439198	4.54285756149874	4.68416611784457	4.66200503989855	4.63227046467476	4.58336818679375	4.66160875848539	4.63417455745289	4.71804998988086
ABHD6	5.90061607075193	6.05296753586868	6.1452876851064	6.03824964553755	6.05666153229655	6.01880240066606	6.1403360860379	5.95444349687197	5.93021859791776	5.94353007078729	5.78950685367459	6.18252218412966	6.25384317520718
ABHD8	4.9521717177228	4.9636489120527	4.73932120251914	4.73016249193357	4.99767946661544	5.18418068960975	4.87681248619172	4.80614244178031	4.85188564080799	4.89645804972807	4.85780646627809	5.13420098548946	5.11093961846225
ABI1	7.62520004311622	7.59865745832849	7.54831549371171	7.6557002481111	7.62810926171084	7.50945279796038	7.60265901699259	7.62927837386876	7.6539553707977	7.66014216162099	7.78378046939605	7.51348104974786	7.50617316786564
ABI2	8.52490973422021	8.47653521712534	8.18055443845576	8.44379332447016	8.4465404983719	8.54880778004626	8.39103846313297	8.46248967940279	8.43122923477152	8.45223647072605	8.57933590497231	8.51850182226652	8.57812222811181
ABI3	1.37590821835206	1.49212639860232	1.85796300397338	1.66759757421621	0.963991893529239	1.76020902945644	1.72811125719024	1.86031254342914	2.13682019560974	1.49548330320674	1.97909414945596	0.70685302370255	0.892161530569288
ABI3BP	4.11363010557959	4.15406436930428	4.84852904995787	4.35726540714933	3.97937141263598	3.98882715652857	4.34319087178906	4.48001626093644	4.44605646572347	4.19702510090381	3.99463112488451	3.92422441277167	3.82033809741811
ABL1	6.26811670819897	6.3332216237557	6.41216284036075	6.30379254989812	6.23290232874523	6.40757393556072	6.37664481877222	6.364132637605	6.36744545270023	6.26597222702156	6.21477361081186	6.33179006730173	6.35939818575109
