logFC	Pval	Warning	FDR
ACTR2	0.158976227948621	9.26006288359815e-06	NA	0.00569600714220713
ACTR5	0.111869567848026	0.000116735505452326	NA	0.0296341418841118
ADAT2	0.280259794513398	7.4368469508368e-05	NA	0.0233210771146535
ANKRD20A3	0.316085967956669	0.000154911193968044	NA	0.0359057206540713
ASIC4	-0.263348428067266	0.000227016704731353	NA	0.0417319328594084
ATF6B	-0.16359781309473	2.84887485335616e-05	NA	0.0119900146130856
B3GALNT2	0.223766281345415	1.38337813075928e-05	NA	0.00799445983875469
BCORL1	0.244950452254284	0.000144415011736898	NA	0.0344720788463912
BHMT	-0.531039405804118	4.09901856797124e-05	NA	0.0148990008994464
C10orf131	0.238392081861992	0.000115620457967092	NA	0.0296341418841118
CAMK2G	-0.329939962525461	1.01598729429497e-11	NA	4.06217119941488e-08
CAMK2N1	-0.285049434468163	0.000287831015671758	NA	0.0455770438974101
CAPN1	-0.139144395026254	8.39422648895027e-05	NA	0.0239213262436437
CCDC163P	-0.71632691153818	1.81228290885294e-06	NA	0.001932256037419
CDC5L	0.199857984724506	3.794648705302e-05	NA	0.0141134457543941
CENPK	0.214977478901602	0.000106031352452574	NA	0.0287416850809154
CHEK2	0.233871556741807	2.11279552491117e-05	NA	0.00993821730291304
COPE	-0.190169342855871	0.000181909777343225	NA	0.0384608099789524
CXCR4	-0.513063759146406	0.000273412218765534	NA	0.0446192001501754
CYS1	-0.308706508004604	8.5946682087723e-05	NA	0.0239213262436437
DDO	-0.611446451204546	0.000166182273220405	NA	0.0374331421917457
DNAH14	0.373430868405463	0.000283711089234862	NA	0.0453739145013314
DNAJC10	0.146258932096207	5.53793995394791e-06	NA	0.00411105674802885
DNMBP	0.227622517838605	8.25634464751701e-05	NA	0.0239213262436437
DYX1C1	0.249202588105052	2.62419294547733e-05	NA	0.0113428966964916
EDEM1	0.169901147779083	0.000251767045144957	NA	0.0445001122002598
ERCC1	-0.187134611458804	0.000208586921922826	NA	0.0410960837449557
FAM181B	-0.425952798183097	0.000262723005280074	NA	0.0446192001501754
FAM35A	0.220329334342116	0.000201535170236911	NA	0.0407993921215052
FAM92A1	0.121467738409324	0.000113297069122664	NA	0.0296341418841118
FBXL2	0.301585649208125	8.66399961996223e-06	NA	0.00569600714220713
FBXL22	-0.212441292006043	2.20233393952718e-05	NA	0.0100433990272202
FIGN	0.443210765834554	0.00020828137262674	NA	0.0410960837449557
FMO3	0.178689264290324	0.000321412947829725	NA	0.048754253743803
GAMT	-0.201152162907063	0.00022415399743636	NA	0.0416848241976711
GBP6	0.151006477688083	5.65517716855091e-06	NA	0.00411105674802885
GDPD5	0.317061032653679	0.000282679016130105	NA	0.0453739145013314
GPS1	-0.133907533567487	1.72851628155168e-05	NA	0.00891747125511486
