logFC	Pval	Warning	FDR
A1BG	-0.0564316249221387	0.382571485144386	NA	0.757235861623039
A2M	-0.178742734336792	0.239630404277185	NA	0.652324945634897
A2ML1	-0.242345270726467	0.100520292588274	NA	0.494044572638068
A3GALT2	0.003249126998154	0.968021205482643	NA	0.992280678072293
A4GALT	-0.00471837402249496	0.965972770304936	NA	0.99162981583485
AAAS	-0.10448185526121	0.0730971526792585	NA	0.444226249778718
AACS	-0.0921763000549085	0.222673451012295	NA	0.638433983494148
AADAT	-0.0364244914799672	0.41145254593618	NA	0.775528646689137
AAED1	-0.0317772202601625	0.680258490049714	NA	0.903921493250034
AAGAB	0.0189831402156923	0.658019937939236	NA	0.897911872429206
AAK1	0.0916682406579544	0.280053994146489	NA	0.685423706719173
AAMDC	0.0845632748709727	0.218917883033528	NA	0.635212056516009
AAMP	-0.0610275956658753	0.142609104803991	NA	0.553654114897688
AANAT	0.0239213268772414	0.518477786223375	NA	0.830966774663371
AAR2	-0.0442253063588596	0.519663390842861	NA	0.831097660974988
AARD	0.246391262856177	0.0138409455082202	NA	0.251829626294615
AARS	-0.0193541695394659	0.661307411706821	NA	0.899042570142367
AARS2	-0.0939350817379677	0.0847335937671008	NA	0.469116184955958
AASDH	-0.023954111976182	0.689586103826091	NA	0.908148102642512
AASDHPPT	-0.0106117178387409	0.817614013152969	NA	0.949676876487431
AASS	0.101259478124377	0.158080920901845	NA	0.572338349278417
AATF	0.0524443510147167	0.191353497549022	NA	0.610232599461916
AATK	-0.0509303067184608	0.500999854971255	NA	0.821962523651548
ABAT	-0.0129263882522004	0.786196432886378	NA	0.938030709410438
ABCA1	0.0107216673252128	0.935087678927323	NA	0.983354632370113
ABCA10	0.164354735301452	0.119340926979919	NA	0.525750690707652
ABCA12	0.00558321674332334	0.975662467088324	NA	0.994028177455726
ABCA13	0.0582260044327507	0.857948405310763	NA	0.963891147124793
ABCA2	-0.0133976795527434	0.794634301564082	NA	0.941030930836218
ABCA3	-0.0567572808284214	0.268594235673558	NA	0.672804846308527
ABCA4	0.379755892887097	0.0865701931658931	NA	0.47028434079556
ABCA5	0.152478136306376	0.00370758865666176	NA	0.145062388555437
ABCA6	-0.015715907311254	0.923236252614627	NA	0.980420067986017
ABCA7	-0.0150862426429097	0.904914027182149	NA	0.976208434180378
ABCA8	0.123167770489592	0.535507214231962	NA	0.838150726700196
ABCA9	0.0177538103506203	0.883050469842622	NA	0.970997478621827
ABCB1	-0.435913175575893	0.0332370568396765	NA	0.340175104499749
ABCB10	0.0165323110596002	0.766432813932612	NA	0.932881695208565
ABCB11	0.101574075195976	0.168621184413777	NA	0.586237422069582
ABCB4	-0.275312171242377	0.124431308646273	NA	0.533659194382974
ABCB7	0.0385368041963382	0.320351916002797	NA	0.713649616653711
ABCB8	-0.141262464204211	0.0140188293139729	NA	0.253050944941726
ABCB9	-0.15720493983695	0.00320193505637456	NA	0.13743891480884
ABCC1	-0.0217856752096826	0.752871510523171	NA	0.93053467226978
