Gene	ModuleColor	kWithin
1	A1BG	lightgreen	0.957106118476935
2	A2M	white	2.21245525761337
3	A2ML1	blue	13.7365690796491
4	A3GALT2	yellow	2.10020932768267
5	A4GALT	grey	2.20863299743021
6	AAAS	grey	4.58976648174465
7	AACS	grey	2.32926808062705
8	AADAT	grey	1.78970267838817
9	AAED1	royalblue	1.56770340387365
10	AAGAB	pink	0.541283587845768
11	AAK1	salmon	7.8045149600301
12	AAMDC	midnightblue	2.70982495045951
13	AAMP	blue	1.29758719502249
14	AANAT	turquoise	2.38591000777344
15	AAR2	purple	3.86805125596675
16	AARD	darkturquoise	1.45120332581339
17	AARS	salmon	2.48457901198744
18	AARS2	green	2.01206505789945
19	AASDH	black	4.31302801024509
20	AASDHPPT	purple	5.77474837599591
21	AASS	greenyellow	0.852287006340364
22	AATF	tan	5.84690778484328
23	AATK	red	1.94423435281879
24	ABAT	grey	1.99755149776396
25	ABCA1	blue	0.537347433111214
26	ABCA10	pink	2.11696226818867
27	ABCA12	darkturquoise	1.98825398198331
28	ABCA13	lightgreen	2.72247590262582
29	ABCA2	darkred	2.5341150245999
30	ABCA3	white	1.38184903821419
31	ABCA4	pink	3.85038530778537
32	ABCA5	pink	1.65229884049038
33	ABCA6	grey	2.39798072891754
34	ABCA7	grey	2.65786512752912
35	ABCA8	greenyellow	24.8054651089656
36	ABCA9	grey	1.78458240698663
37	ABCB1	grey	6.73769894587885
38	ABCB10	grey	4.02331418655971
39	ABCB11	grey	1.89094901677382
40	ABCB4	yellow	10.5964964517197
41	ABCB7	grey	2.02334622400293
42	ABCB8	darkgrey	6.04664565049588
43	ABCB9	darkgrey	3.67951593577702
44	ABCC1	grey	4.11665602894288
45	ABCC10	tan	4.32098525252141
46	ABCC11	royalblue	0.589916575386316
47	ABCC12	grey	3.69265295859802
48	ABCC2	yellow	3.77348926561511
49	ABCC3	grey	2.23050753135143
50	ABCC4	saddlebrown	3.4174967340931
51	ABCC5	grey	2.48952738286665
52	ABCC6	grey	2.16388451676375
53	ABCC8	grey	3.35761018559108
54	ABCC9	grey	2.12990822078091
55	ABCD1	red	3.73641783411084
56	ABCD2	grey	2.06733257614294
57	ABCD3	darkorange	3.67709975637693
58	ABCD4	grey	4.03006948418397
59	ABCE1	black	10.1979548919204
60	ABCF1	grey	4.42285637627426
61	ABCF2	orange	1.01856705755454
62	ABCG1	brown	4.384960159476
63	ABCG2	blue	11.7632263801447
64	ABCG4	grey	1.80223023057828
65	ABCG5	lightcyan	1.53594416266012
66	ABCG8	greenyellow	4.31358635193925
67	ABHD1	grey	1.40880112539731
68	ABHD10	grey	2.1062448125116
69	ABHD11	grey	4.16003953598776
70	ABHD12	grey60	2.08685597554309
71	ABHD12B	grey	2.48691016081543
72	ABHD13	grey	1.17797078093841
73	ABHD14A	grey	0.984738326899153
74	ABHD14B	turquoise	3.36256944047327
75	ABHD15	grey	2.47589657179159
76	ABHD17A	green	34.5498243569565
77	ABHD17B	greenyellow	13.2076038856083
78	ABHD17C	darkorange	1.03847645130465
79	ABHD2	darkgreen	4.00646096535696
80	ABHD3	yellow	4.90433870216537
81	ABHD4	darkorange	0.524824705574853
82	ABHD5	darkorange	1.2232089773959
83	ABHD6	lightcyan	1.84038074126778
84	ABHD8	royalblue	3.61944742755174
85	ABI1	grey	2.7542164666883
86	ABI2	skyblue	4.81450893501276
87	ABI3	turquoise	14.4822379840261
88	ABI3BP	brown	2.54787701360692
89	ABL1	magenta	1.79600045824243
90	ABL2	salmon	9.59405594190003
91	ABLIM1	white	2.74989851868535
92	ABLIM2	lightgreen	5.3174123566241
93	ABLIM3	lightyellow	4.42712371749704
94	ABR	white	9.65274878676588
95	ABRACL	grey	2.25098638972387
96	ABT1	grey60	3.85255462761183
97	ABTB1	green	3.5515180244586
98	ABTB2	purple	2.6873789151142
99	AC002310.13	lightcyan	3.53869803570911
100	AC002365.1	grey	1.69769445730011
101	AC002398.9	darkred	0.562642176444715
102	AC002472.1	grey	2.42529216317563
103	AC002472.13	tan	6.23371664878409
104	AC002985.3	grey	1.21021882098039
105	AC003002.4	brown	3.38462232582801
106	AC003005.4	black	3.80534721167776
107	AC003006.7	grey	1.26820345839487
108	AC003101.1	grey	1.77714110865393
109	AC004076.7	brown	3.86928861095425
110	AC004076.9	grey	1.29140024039559
111	AC004381.6	pink	5.75155443985214
112	AC004466.1	royalblue	2.64038454214106
113	AC004899.1	white	2.45172276828499
114	AC005003.1	grey	3.77238217829799
115	AC005082.1	grey	1.09878243837711
116	AC005609.1	grey	1.68964275266495
117	AC006486.1	turquoise	3.08142342077898
118	AC006486.9	yellow	5.03154585387191
119	AC006538.4	royalblue	1.90737495694867
