Diagnosis	Sex	Age	PMI	RIN
MEblack	0.0256410256410256	-0.0121716123890037	0.0254960287766706	-0.00548228188538306	0.0442242552122796
MEblue	-0.497435897435897	-0.0121716123890037	-0.0689081858828936	-0.113757349121699	0.0732464226953381
MEbrown	0.179487179487179	0.0730296743340222	0.0565047124239727	0.145280469962651	-0.136127785575298
MEcyan	0.548717948717949	0.0243432247780074	0.0206724557648681	0.0575639597965222	-0.0290221674830585
MEdarkgreen	0.261538461538461	-0.0486864495560148	-0.0296305199296442	0.174062449860912	-0.0642633708553438
MEdarkgrey	-0.528205128205128	-0.0243432247780074	-0.0916478872242485	-0.132945335720539	0.0601173469291926
MEdarkorange	-0.18974358974359	0	-0.104051360683169	-0.108275067236316	-0.0207301196307561
MEdarkred	-0.261538461538461	-0.0243432247780074	0.0675300221652357	-0.0356348322549899	0.0304041754584422
MEdarkturquoise	0.6	0.0608580619450185	0.0882024779301038	0.137057047134577	-0.0753194346584137
MEgreen	-0.415384615384615	-0.0365148371670111	-0.0702863496005515	-0.134315906191885	0.104341602141472
MEgreenyellow	0.364102564102564	0	0.134370962471642	0.0548228188538306	0.00552803190153495
MEgrey60	0.117948717948718	-0.0243432247780074	0.0509920575533412	-0.041117114140373	0.0573533309784251
MElightcyan	0.528205128205128	0.0365148371670111	0.0799334956241566	0.175433020332258	-0.129217745698379
MElightgreen	-0.0974358974358974	0.0486864495560148	-0.0399667478120783	0.0603051007392137	-0.0552803190153495
MElightyellow	-0.138461538461538	-0.0121716123890037	-0.0895806416477617	-0.149392181376688	0.0988135702399372
MEmagenta	-0.128205128205128	-0.0973728991120295	-0.0282523562119864	-0.0424876846117187	0.0297131714707503
MEmidnightblue	0.425641025641026	0.0365148371670111	0.075109922612354	0.217920704943977	-0.136127785575298
MEorange	-0.138461538461538	0.0365148371670111	-0.0172270464707234	-0.115127919593044	0.0773924466214893
MEpink	0.6	0.0243432247780074	0.0220506194825259	0.0685285235672883	-0.0214211236184479
MEpurple	-0.302564102564103	-0.0365148371670111	0.000689081858828936	-0.0561933893251764	0.0435332512245877
MEred	-0.425641025641026	-0.0608580619450185	-0.0902697235065906	-0.0698990940386341	0.0587353389538088
MEroyalblue	-0.302564102564103	-0.0486864495560148	-0.0888915597889327	-0.143909899491305	0.175515012873735
MEsaddlebrown	0.0974358974358974	0.0243432247780074	-0.0523702212709991	0.100051644408241	-0.0808474665599486
MEsalmon	0.261538461538461	-0.0486864495560148	0.0365213385179336	0.00685285235672883	0.0283311634953666
MEskyblue	0.292307692307692	0.0608580619450185	-0.0757990044711829	-0.00959399329942036	0.0310951794461341
MEsteelblue	-0.138461538461538	0.0121716123890037	0.128858307601011	0.0575639597965222	-0.0456062631876633
MEtan	0.0666666666666667	-0.0486864495560148	-0.136438208048129	-0.00548228188538306	-0.0898305183999429
MEturquoise	0.302564102564103	0	-0.00137816371765787	0.0931987920515121	-0.0483702791384308
MEwhite	-0.487179487179487	-0.0608580619450185	-0.0627064491534332	-0.19736214787379	0.145801841402984
MEyellow	-0.128205128205128	0.0973728991120295	-0.105429524400827	-0.0452288255544103	-0.105032606129164
