Diagnosis	Sex	Age	PMI	RIN
MEblack	0.901050789719464	0.952941798059537	0.901607664500282	0.978795082313854	0.830145794014909
MEblue	0.00972057246767053	0.952941798059537	0.738016168201117	0.580041003868553	0.722144087060468
MEbrown	0.380294564217309	0.722934503595674	0.783955870110367	0.478867077532493	0.507280557051634
MEcyan	0.0036994089664319	0.906036713758485	0.920157343183744	0.780002615568827	0.888078639090925
MEdarkgreen	0.196840704975831	0.813290238544485	0.88574750184316	0.395093450852431	0.75512639934723
MEdarkgrey	0.00554220000642948	0.906036713758485	0.656124314530299	0.517350372374358	0.770495062335075
MEdarkorange	0.353202355762378	1	0.612966818426159	0.598543570319302	0.919935329803792
MEdarkred	0.196840704975831	0.906036713758485	0.743080693911131	0.862792234817154	0.882784280743626
MEdarkturquoise	0.00119478741738485	0.767742968760267	0.668313411940407	0.504358507443798	0.714598556445018
MEgreen	0.0348319512990191	0.859436506711236	0.7329622629504	0.513001814430043	0.611971108445793
MEgreenyellow	0.0674587879032695	1	0.512827504540389	0.790243623490003	0.978618165318953
MEgrey60	0.566067032065429	0.906036713758485	0.804612124557956	0.841926575056661	0.780788290204487
MElightcyan	0.00554220000642948	0.859436506711236	0.697898235164667	0.391324079483218	0.529266904504395
MElightgreen	0.635840501493066	0.813290238544485	0.846296763638043	0.769797214075029	0.788531977226973
MElightyellow	0.499957929572453	0.952941798059537	0.663427732439595	0.466373251782959	0.631049258352639
MEmagenta	0.532526491428625	0.636059939113109	0.89102976496799	0.836725794953767	0.885430861520979
MEmidnightblue	0.0301646588361405	0.859436506711236	0.715359985259059	0.2848659732984	0.507280557051634
MEorange	0.499957929572453	0.859436506711236	0.933432615347266	0.575454914660014	0.70707904776664
MEpink	0.00119478741738485	0.906036713758485	0.914852864291513	0.739410313237787	0.917275333588912
MEpurple	0.133000516577577	0.859436506711236	0.997334411241357	0.785118767775522	0.832762752051449
MEred	0.0301646588361405	0.767742968760267	0.660989891469746	0.734381295396426	0.775637064964152
MEroyalblue	0.133000516577577	0.813290238544485	0.66586891312288	0.483069344873709	0.391099231698488
MEsaddlebrown	0.635840501493066	0.906036713758485	0.799435503299566	0.626755847963784	0.694606071171786
MEsalmon	0.196840704975831	0.813290238544485	0.859411723837855	0.973495495791075	0.890727586096022
MEskyblue	0.147324117788825	0.767742968760267	0.712856659345952	0.962899826455719	0.880138924082171
MEsteelblue	0.499957929572453	0.952941798059537	0.530422837223711	0.780002615568827	0.824917191082027
MEtan	0.746258708488372	0.813290238544485	0.506303513400037	0.978795082313854	0.662543328786181
MEturquoise	0.133000516577577	1	0.994668850328221	0.650665169696734	0.814481976045112
MEwhite	0.0115949855587406	0.767742968760267	0.760887377075293	0.333838861152961	0.477273436257123
MEyellow	0.532526491428625	0.636059939113109	0.608244832207049	0.826344453366924	0.609603232978849
